CapitalCity{name=Seoul, country=South Korea, population=9981619}
CapitalCity{name=Jakarta, country=Indonesia, population=9604900}
CapitalCity{name=Ciudad de México, country=Mexico, population=8591309}
CapitalCity{name=Moscow, country=Russian Federation, population=8389200}
CapitalCity{name=Tokyo, country=Japan, population=7980230}
CapitalCity{name=Peking, country=China, population=7472000}
CapitalCity{name=London, country=United Kingdom, population=7285000}
CapitalCity{name=Cairo, country=Egypt, population=6789479}
CapitalCity{name=Teheran, country=Iran, population=6758845}
CapitalCity{name=Lima, country=Peru, population=6464693}
CapitalCity{name=Bangkok, country=Thailand, population=6320174}
CapitalCity{name=Santafé de Bogotá, country=Colombia, population=6260862}
CapitalCity{name=Kinshasa, country=Congo, The Democratic Republic of the, population=5064000}
CapitalCity{name=Santiago de Chile, country=Chile, population=4703954}
CapitalCity{name=Baghdad, country=Iraq, population=4336000}
CapitalCity{name=Singapore, country=Singapore, population=4017733}
CapitalCity{name=Dhaka, country=Bangladesh, population=3612850}
CapitalCity{name=Berlin, country=Germany, population=3386667}
CapitalCity{name=Rangoon (Yangon), country=Myanmar, population=3361700}
CapitalCity{name=Riyadh, country=Saudi Arabia, population=3324000}
CapitalCity{name=Ankara, country=Turkey, population=3038159}
CapitalCity{name=Buenos Aires, country=Argentina, population=2982146}
CapitalCity{name=Madrid, country=Spain, population=2879052}
CapitalCity{name=Roma, country=Italy, population=2643581}
CapitalCity{name=Taipei, country=Taiwan, population=2641312}
CapitalCity{name=Kyiv, country=Ukraine, population=2624000}
CapitalCity{name=Addis Abeba, country=Ethiopia, population=2495000}
CapitalCity{name=Pyongyang, country=North Korea, population=2484000}
CapitalCity{name=Nairobi, country=Kenya, population=2290000}
CapitalCity{name=La Habana, country=Cuba, population=2256000}
CapitalCity{name=Alger, country=Algeria, population=2168000}
CapitalCity{name=Paris, country=France, population=2125246}
CapitalCity{name=Toskent, country=Uzbekistan, population=2117500}
CapitalCity{name=Luanda, country=Angola, population=2022000}
CapitalCity{name=Bucuresti, country=Romania, population=2016131}
CapitalCity{name=Caracas, country=Venezuela, population=1975294}
CapitalCity{name=Brasília, country=Brazil, population=1969868}
CapitalCity{name=Budapest, country=Hungary, population=1811552}
CapitalCity{name=Baku, country=Azerbaijan, population=1787800}
CapitalCity{name=Kabul, country=Afghanistan, population=1780000}
CapitalCity{name=Tripoli, country=Libyan Arab Jamahiriya, population=1682000}
CapitalCity{name=Minsk, country=Belarus, population=1674000}
CapitalCity{name=Warszawa, country=Poland, population=1615369}
CapitalCity{name=Santo Domingo de Guzmán, country=Dominican Republic, population=1609966}
CapitalCity{name=Wien, country=Austria, population=1608144}
CapitalCity{name=Manila, country=Philippines, population=1581082}
CapitalCity{name=Quito, country=Ecuador, population=1573458}
CapitalCity{name=Hanoi, country=Vietnam, population=1410000}
CapitalCity{name=Harare, country=Zimbabwe, population=1410000}
CapitalCity{name=Yaoundé, country=Cameroon, population=1372800}
CapitalCity{name=Damascus, country=Syria, population=1347000}
CapitalCity{name=Lusaka, country=Zambia, population=1317000}
