CapitalCity{name=Lima, country=Peru, population=6464693}
CapitalCity{name=Santafé de Bogotá, country=Colombia, population=6260862}
CapitalCity{name=Santiago de Chile, country=Chile, population=4703954}
CapitalCity{name=Buenos Aires, country=Argentina, population=2982146}
CapitalCity{name=Caracas, country=Venezuela, population=1975294}
CapitalCity{name=Brasília, country=Brazil, population=1969868}
CapitalCity{name=Quito, country=Ecuador, population=1573458}
CapitalCity{name=Montevideo, country=Uruguay, population=1236000}
CapitalCity{name=La Paz, country=Bolivia, population=758141}
CapitalCity{name=Asunción, country=Paraguay, population=557776}
CapitalCity{name=Georgetown, country=Guyana, population=254000}
CapitalCity{name=Paramaribo, country=Suriname, population=112000}
CapitalCity{name=Cayenne, country=French Guiana, population=50699}
CapitalCity{name=Stanley, country=Falkland Islands, population=1636}
