CapitalCity{name=Jakarta, country=Indonesia, population=9604900}
CapitalCity{name=Bangkok, country=Thailand, population=6320174}
CapitalCity{name=Singapore, country=Singapore, population=4017733}
CapitalCity{name=Rangoon (Yangon), country=Myanmar, population=3361700}
CapitalCity{name=Manila, country=Philippines, population=1581082}
CapitalCity{name=Hanoi, country=Vietnam, population=1410000}
CapitalCity{name=Kuala Lumpur, country=Malaysia, population=1297526}
CapitalCity{name=Phnom Penh, country=Cambodia, population=570155}
CapitalCity{name=Vientiane, country=Laos, population=531800}
CapitalCity{name=Dili, country=East Timor, population=47900}
CapitalCity{name=Bandar Seri Begawan, country=Brunei, population=21484}
