City{name=Cairo, country=Egypt, district=Kairo, population=6789479}
City{name=Kinshasa, country=Congo, The Democratic Republic of the, district=Kinshasa, population=5064000}
City{name=Alexandria, country=Egypt, district=Aleksandria, population=3328196}
City{name=Casablanca, country=Morocco, district=Casablanca, population=2940623}
City{name=Abidjan, country=Côte d’Ivoire, district=Abidjan, population=2500000}
City{name=Addis Abeba, country=Ethiopia, district=Addis Abeba, population=2495000}
City{name=Cape Town, country=South Africa, district=Western Cape, population=2352121}
City{name=Nairobi, country=Kenya, district=Nairobi, population=2290000}
City{name=Giza, country=Egypt, district=Giza, population=2221868}
City{name=Alger, country=Algeria, district=Alger, population=2168000}
City{name=Luanda, country=Angola, district=Luanda, population=2022000}
City{name=Dar es Salaam, country=Tanzania, district=Dar es Salaam, population=1747000}
City{name=Tripoli, country=Libyan Arab Jamahiriya, district=Tripoli, population=1682000}
City{name=Lagos, country=Nigeria, district=Lagos, population=1518000}
City{name=Douala, country=Cameroon, district=Littoral, population=1448300}
City{name=Ibadan, country=Nigeria, district=Oyo & Osun, population=1432000}
City{name=Harare, country=Zimbabwe, district=Harare, population=1410000}
City{name=Yaoundé, country=Cameroon, district=Centre, population=1372800}
City{name=Lusaka, country=Zambia, district=Lusaka, population=1317000}
City{name=Omdurman, country=Sudan, district=Khartum, population=1271403}
City{name=Conakry, country=Guinea, district=Conakry, population=1090610}
City{name=Accra, country=Ghana, district=Greater Accra, population=1070000}
City{name=Maputo, country=Mozambique, district=Maputo, population=1018938}
City{name=Mogadishu, country=Somalia, district=Banaadir, population=997000}
City{name=Brazzaville, country=Congo, district=Brazzaville, population=950000}
City{name=Khartum, country=Sudan, district=Khartum, population=947483}
City{name=Soweto, country=South Africa, district=Gauteng, population=904165}
City{name=Kampala, country=Uganda, district=Central, population=890800}
City{name=Shubra al-Khayma, country=Egypt, district=al-Qalyubiya, population=870716}
City{name=Pikine, country=Senegal, district=Cap-Vert, population=855287}
City{name=Lubumbashi, country=Congo, The Democratic Republic of the, district=Shaba, population=851381}
City{name=Monrovia, country=Liberia, district=Montserrado, population=850000}
City{name=Freetown, country=Sierra Leone, district=Western, population=850000}
City{name=Ouagadougou, country=Burkina Faso, district=Kadiogo, population=824000}
City{name=Bamako, country=Mali, district=Bamako, population=809552}
City{name=Mbuji-Mayi, country=Congo, The Democratic Republic of the, district=East Kasai, population=806475}
City{name=Bengasi, country=Libyan Arab Jamahiriya, district=Bengasi, population=804000}
City{name=Dakar, country=Senegal, district=Cap-Vert, population=785071}
City{name=Johannesburg, country=South Africa, district=Gauteng, population=756653}
City{name=Port Elizabeth, country=South Africa, district=Eastern Cape, population=752319}
City{name=Ogbomosho, country=Nigeria, district=Oyo & Osun, population=730000}
City{name=Sharq al-Nil, country=Sudan, district=Khartum, population=700887}
City{name=Tunis, country=Tunisia, district=Tunis, population=690600}
City{name=Antananarivo, country=Madagascar, district=Antananarivo, population=675669}
City{name=Kano, country=Nigeria, district=Kano & Jigawa, population=674100}
City{name=Nouakchott, country=Mauritania, district=Nouakchott, population=667300}
City{name=Pretoria, country=South Africa, district=Gauteng, population=658630}
City{name=Inanda, country=South Africa, district=KwaZulu-Natal, population=634065}
City{name=Rabat, country=Morocco, district=Rabat-Salé-Zammour-Z, population=623457}
City{name=Marrakech, country=Morocco, district=Marrakech-Tensift-Al, population=621914}
City{name=Bulawayo, country=Zimbabwe, district=Bulawayo, population=621742}
City{name=Oran, country=Algeria, district=Oran, population=609823}
City{name=Durban, country=South Africa, district=KwaZulu-Natal, population=566120}
City{name=Fès, country=Morocco, district=Fès-Boulemane, population=541162}
City{name=Cotonou, country=Benin, district=Atlantique, population=536827}
City{name=N´Djaména, country=Chad, district=Chari-Baguirmi, population=530965}
City{name=Bangui, country=Central African Republic, district=Bangui, population=524000}
City{name=Tanger, country=Morocco, district=Tanger-Tétouan, population=521735}
