City{name=Moscow, country=Russian Federation, district=Moscow (City), population=8389200}
City{name=London, country=United Kingdom, district=England, population=7285000}
City{name=St Petersburg, country=Russian Federation, district=Pietari, population=4694000}
City{name=Berlin, country=Germany, district=Berliini, population=3386667}
City{name=Madrid, country=Spain, district=Madrid, population=2879052}
City{name=Roma, country=Italy, district=Latium, population=2643581}
City{name=Kyiv, country=Ukraine, district=Kiova, population=2624000}
City{name=Paris, country=France, district=Île-de-France, population=2125246}
City{name=Bucuresti, country=Romania, district=Bukarest, population=2016131}
City{name=Budapest, country=Hungary, district=Budapest, population=1811552}
City{name=Hamburg, country=Germany, district=Hamburg, population=1704735}
City{name=Minsk, country=Belarus, district=Horad Minsk, population=1674000}
City{name=Warszawa, country=Poland, district=Mazowieckie, population=1615369}
City{name=Wien, country=Austria, district=Wien, population=1608144}
City{name=Barcelona, country=Spain, district=Katalonia, population=1503451}
City{name=Harkova [Harkiv], country=Ukraine, district=Harkova, population=1500000}
City{name=Novosibirsk, country=Russian Federation, district=Novosibirsk, population=1398800}
City{name=Nizni Novgorod, country=Russian Federation, district=Nizni Novgorod, population=1357000}
City{name=Milano, country=Italy, district=Lombardia, population=1300977}
City{name=Jekaterinburg, country=Russian Federation, district=Sverdlovsk, population=1266300}
City{name=Beograd, country=Yugoslavia, district=Central Serbia, population=1204000}
City{name=Munich [München], country=Germany, district=Baijeri, population=1194560}
City{name=Praha, country=Czech Republic, district=Hlavní mesto Praha, population=1181126}
City{name=Samara, country=Russian Federation, district=Samara, population=1156100}
City{name=Omsk, country=Russian Federation, district=Omsk, population=1148900}
City{name=Sofija, country=Bulgaria, district=Grad Sofija, population=1122302}
City{name=Dnipropetrovsk, country=Ukraine, district=Dnipropetrovsk, population=1103000}
City{name=Kazan, country=Russian Federation, district=Tatarstan, population=1101000}
City{name=Ufa, country=Russian Federation, district=Baškortostan, population=1091200}
City{name=Tšeljabinsk, country=Russian Federation, district=Tšeljabinsk, population=1083200}
City{name=Donetsk, country=Ukraine, district=Donetsk, population=1050000}
City{name=Birmingham, country=United Kingdom, district=England, population=1013000}
City{name=Rostov-na-Donu, country=Russian Federation, district=Rostov-na-Donu, population=1012700}
City{name=Odesa, country=Ukraine, district=Odesa, population=1011000}
City{name=Perm, country=Russian Federation, district=Perm, population=1009700}
City{name=Napoli, country=Italy, district=Campania, population=1002619}
City{name=Volgograd, country=Russian Federation, district=Volgograd, population=993400}
City{name=Köln, country=Germany, district=Nordrhein-Westfalen, population=962507}
City{name=Voronez, country=Russian Federation, district=Voronez, population=907700}
City{name=Torino, country=Italy, district=Piemonte, population=903705}
City{name=Krasnojarsk, country=Russian Federation, district=Krasnojarsk, population=875500}
City{name=Saratov, country=Russian Federation, district=Saratov, population=874000}
City{name=Zaporizzja, country=Ukraine, district=Zaporizzja, population=848000}
City{name=Lódz, country=Poland, district=Lodzkie, population=800110}
City{name=Marseille, country=France, district=Provence-Alpes-Côte, population=798430}
City{name=Lviv, country=Ukraine, district=Lviv, population=788000}
City{name=Athenai, country=Greece, district=Attika, population=772072}
City{name=Riga, country=Latvia, district=Riika, population=764328}
City{name=Stockholm, country=Sweden, district=Lisboa, population=750348}
City{name=Valencia, country=Spain, district=Valencia, population=739412}
City{name=Kraków, country=Poland, district=Malopolskie, population=738150}
City{name=Amsterdam, country=Netherlands, district=Noord-Holland, population=731200}
City{name=Toljatti, country=Russian Federation, district=Samara, population=722900}
City{name=Chisinau, country=Moldova, district=Chisinau, population=719900}
City{name=Zagreb, country=Croatia, district=Grad Zagreb, population=706770}
City{name=Kryvyi Rig, country=Ukraine, district=Dnipropetrovsk, population=703000}
City{name=Sevilla, country=Spain, district=Andalusia, population=701927}
City{name=Palermo, country=Italy, district=Sisilia, population=683794}
City{name=Uljanovsk, country=Russian Federation, district=Uljanovsk, population=667400}
City{name=Izevsk, country=Russian Federation, district=Udmurtia, population=652800}
City{name=Frankfurt am Main, country=Germany, district=Hessen, population=643821}
City{name=Krasnodar, country=Russian Federation, district=Krasnodar, population=639000}
City{name=Wroclaw, country=Poland, district=Dolnoslaskie, population=636765}
City{name=Genova, country=Italy, district=Liguria, population=636104}
City{name=Glasgow, country=United Kingdom, district=Scotland, population=619680}
City{name=Jaroslavl, country=Russian Federation, district=Jaroslavl, population=616700}
City{name=Habarovsk, country=Russian Federation, district=Habarovsk, population=609400}
City{name=Vladivostok, country=Russian Federation, district=Primorje, population=606200}
City{name=Zaragoza, country=Spain, district=Aragonia, population=603367}
City{name=Essen, country=Germany, district=Nordrhein-Westfalen, population=599515}
City{name=Irkutsk, country=Russian Federation, district=Irkutsk, population=593700}
City{name=Rotterdam, country=Netherlands, district=Zuid-Holland, population=593321}
City{name=Dortmund, country=Germany, district=Nordrhein-Westfalen, population=590213}
City{name=Stuttgart, country=Germany, district=Baden-Württemberg, population=582443}
City{name=Barnaul, country=Russian Federation, district=Altai, population=580100}
City{name=Vilnius, country=Lithuania, district=Vilna, population=577969}
City{name=Poznan, country=Poland, district=Wielkopolskie, population=576899}
City{name=Düsseldorf, country=Germany, district=Nordrhein-Westfalen, population=568855}
City{name=Lisboa, country=Portugal, district=Lisboa, population=563210}
City{name=Novokuznetsk, country=Russian Federation, district=Kemerovo, population=561600}
City{name=Helsinki [Helsingfors], country=Finland, district=Newmaa, population=555474}
City{name=Bremen, country=Germany, district=Bremen, population=540330}
City{name=Penza, country=Russian Federation, district=Penza, population=532200}
City{name=Málaga, country=Spain, district=Andalusia, population=530553}
City{name=Rjazan, country=Russian Federation, district=Rjazan, population=529900}
City{name=Orenburg, country=Russian Federation, district=Orenburg, population=523600}
City{name=Lipetsk, country=Russian Federation, district=Lipetsk, population=521000}
City{name=Duisburg, country=Germany, district=Nordrhein-Westfalen, population=519793}
City{name=Hannover, country=Germany, district=Niedersachsen, population=514718}
City{name=Nabereznyje Tšelny, country=Russian Federation, district=Tatarstan, population=514700}
City{name=Oslo, country=Norway, district=Oslo, population=508726}
City{name=Mykolajiv, country=Ukraine, district=Mykolajiv, population=508000}
