City{name=Sydney, country=Australia, district=New South Wales, population=3276207}
City{name=Melbourne, country=Australia, district=Victoria, population=2865329}
City{name=Brisbane, country=Australia, district=Queensland, population=1291117}
City{name=Perth, country=Australia, district=West Australia, population=1096829}
City{name=Adelaide, country=Australia, district=South Australia, population=978100}
City{name=Auckland, country=New Zealand, district=Auckland, population=381800}
City{name=Christchurch, country=New Zealand, district=Canterbury, population=324200}
City{name=Canberra, country=Australia, district=Capital Region, population=322723}
City{name=Gold Coast, country=Australia, district=Queensland, population=311932}
City{name=Manukau, country=New Zealand, district=Auckland, population=281800}
City{name=Newcastle, country=Australia, district=New South Wales, population=270324}
City{name=Port Moresby, country=Papua New Guinea, district=National Capital Dis, population=247000}
City{name=Central Coast, country=Australia, district=New South Wales, population=227657}
City{name=Wollongong, country=Australia, district=New South Wales, population=219761}
City{name=North Shore, country=New Zealand, district=Auckland, population=187700}
City{name=Waitakere, country=New Zealand, district=Auckland, population=170600}
City{name=Wellington, country=New Zealand, district=Wellington, population=166700}
City{name=Hobart, country=Australia, district=Tasmania, population=126118}
City{name=Geelong, country=Australia, district=Victoria, population=125382}
City{name=Dunedin, country=New Zealand, district=Dunedin, population=119600}
City{name=Hamilton, country=New Zealand, district=Hamilton, population=117100}
City{name=Townsville, country=Australia, district=Queensland, population=109914}
City{name=Lower Hutt, country=New Zealand, district=Wellington, population=98100}
City{name=Cairns, country=Australia, district=Queensland, population=92273}
City{name=Suva, country=Fiji Islands, district=Central, population=77366}
City{name=Nouméa, country=New Caledonia, district=–, population=76293}
City{name=Honiara, country=Solomon Islands, district=Honiara, population=50100}
City{name=Apia, country=Samoa, district=Upolu, population=35900}
City{name=Port-Vila, country=Vanuatu, district=Shefa, population=33700}
City{name=Dalap-Uliga-Darrit, country=Marshall Islands, district=Majuro, population=28000}
City{name=Faaa, country=French Polynesia, district=Tahiti, population=25888}
City{name=Papeete, country=French Polynesia, district=Tahiti, population=25553}
City{name=Nuku´alofa, country=Tonga, district=Tongatapu, population=22400}
City{name=Weno, country=Micronesia, Federated States of, district=Chuuk, population=22000}
City{name=Koror, country=Palau, district=Koror, population=12000}
City{name=Avarua, country=Cook Islands, district=Rarotonga, population=11900}
City{name=Tamuning, country=Guam, district=–, population=9500}
City{name=Garapan, country=Northern Mariana Islands, district=Saipan, population=9200}
City{name=Palikir, country=Micronesia, Federated States of, district=Pohnpei, population=8600}
City{name=Tafuna, country=American Samoa, district=Tutuila, population=5200}
City{name=Bikenibeu, country=Kiribati, district=South Tarawa, population=5055}
City{name=Funafuti, country=Tuvalu, district=Funafuti, population=4600}
City{name=Yangor, country=Nauru, district=–, population=4050}
City{name=Fagatogo, country=American Samoa, district=Tutuila, population=2323}
City{name=Bairiki, country=Kiribati, district=South Tarawa, population=2226}
City{name=Agaña, country=Guam, district=–, population=1139}
City{name=Mata-Utu, country=Wallis and Futuna, district=Wallis, population=1137}
City{name=Kingston, country=Norfolk Island, district=–, population=800}
City{name=Flying Fish Cove, country=Christmas Island, district=–, population=700}
City{name=Alofi, country=Niue, district=–, population=682}
City{name=Yaren, country=Nauru, district=–, population=559}
City{name=Bantam, country=Cocos (Keeling) Islands, district=Home Island, population=503}
City{name=Fakaofo, country=Tokelau, district=Fakaofo, population=300}
City{name=West Island, country=Cocos (Keeling) Islands, district=West Island, population=167}
City{name=Adamstown, country=Pitcairn, district=–, population=42}
