City{name=São Paulo, country=Brazil, district=São Paulo, population=9968485}
City{name=Lima, country=Peru, district=Lima, population=6464693}
City{name=Santafé de Bogotá, country=Colombia, district=Santafé de Bogotá, population=6260862}
City{name=Rio de Janeiro, country=Brazil, district=Rio de Janeiro, population=5598953}
City{name=Santiago de Chile, country=Chile, district=Santiago, population=4703954}
City{name=Buenos Aires, country=Argentina, district=Distrito Federal, population=2982146}
City{name=Salvador, country=Brazil, district=Bahia, population=2302832}
City{name=Belo Horizonte, country=Brazil, district=Minas Gerais, population=2139125}
City{name=Fortaleza, country=Brazil, district=Ceará, population=2097757}
City{name=Cali, country=Colombia, district=Valle, population=2077386}
City{name=Guayaquil, country=Ecuador, district=Guayas, population=2070040}
City{name=Caracas, country=Venezuela, district=Distrito Federal, population=1975294}
City{name=Brasília, country=Brazil, district=Distrito Federal, population=1969868}
City{name=Medellín, country=Colombia, district=Antioquia, population=1861265}
City{name=Curitiba, country=Brazil, district=Paraná, population=1584232}
City{name=Quito, country=Ecuador, district=Pichincha, population=1573458}
City{name=Recife, country=Brazil, district=Pernambuco, population=1378087}
City{name=Porto Alegre, country=Brazil, district=Rio Grande do Sul, population=1314032}
City{name=Maracaíbo, country=Venezuela, district=Zulia, population=1304776}
City{name=La Matanza, country=Argentina, district=Buenos Aires, population=1266461}
City{name=Manaus, country=Brazil, district=Amazonas, population=1255049}
City{name=Montevideo, country=Uruguay, district=Montevideo, population=1236000}
City{name=Barranquilla, country=Colombia, district=Atlántico, population=1223260}
City{name=Belém, country=Brazil, district=Pará, population=1186926}
City{name=Córdoba, country=Argentina, district=Córdoba, population=1157507}
City{name=Guarulhos, country=Brazil, district=São Paulo, population=1095874}
City{name=Goiânia, country=Brazil, district=Goiás, population=1056330}
City{name=Campinas, country=Brazil, district=São Paulo, population=950043}
City{name=Santa Cruz de la Sierra, country=Bolivia, district=Santa Cruz, population=935361}
City{name=Rosario, country=Argentina, district=Santa Fé, population=907718}
City{name=Barquisimeto, country=Venezuela, district=Lara, population=877239}
City{name=São Gonçalo, country=Brazil, district=Rio de Janeiro, population=869254}
City{name=Nova Iguaçu, country=Brazil, district=Rio de Janeiro, population=862225}
City{name=São Luís, country=Brazil, district=Maranhão, population=837588}
City{name=Cartagena, country=Colombia, district=Bolívar, population=805757}
City{name=Valencia, country=Venezuela, district=Carabobo, population=794246}
City{name=Maceió, country=Brazil, district=Alagoas, population=786288}
City{name=Arequipa, country=Peru, district=Arequipa, population=762000}
City{name=La Paz, country=Bolivia, district=La Paz, population=758141}
City{name=Duque de Caxias, country=Brazil, district=Rio de Janeiro, population=746758}
City{name=São Bernardo do Campo, country=Brazil, district=São Paulo, population=723132}
City{name=Teresina, country=Brazil, district=Piauí, population=691942}
City{name=Natal, country=Brazil, district=Rio Grande do Norte, population=688955}
City{name=Ciudad Guayana, country=Venezuela, district=Bolívar, population=663713}
City{name=Osasco, country=Brazil, district=São Paulo, population=659604}
City{name=Trujillo, country=Peru, district=La Libertad, population=652000}
City{name=Campo Grande, country=Brazil, district=Mato Grosso do Sul, population=649593}
City{name=Santo André, country=Brazil, district=São Paulo, population=630073}
City{name=Lomas de Zamora, country=Argentina, district=Buenos Aires, population=622013}
City{name=Cúcuta, country=Colombia, district=Norte de Santander, population=606932}
City{name=João Pessoa, country=Brazil, district=Paraíba, population=584029}
City{name=Quilmes, country=Argentina, district=Buenos Aires, population=559249}
City{name=Jaboatão dos Guararapes, country=Brazil, district=Pernambuco, population=558680}
City{name=Asunción, country=Paraguay, district=Asunción, population=557776}
City{name=Almirante Brown, country=Argentina, district=Buenos Aires, population=538918}
City{name=El Alto, country=Bolivia, district=La Paz, population=534466}
City{name=La Plata, country=Argentina, district=Buenos Aires, population=521936}
City{name=Contagem, country=Brazil, district=Minas Gerais, population=520801}
City{name=Chiclayo, country=Peru, district=Lambayeque, population=517000}
City{name=Bucaramanga, country=Colombia, district=Santander, population=515555}
City{name=São José dos Campos, country=Brazil, district=São Paulo, population=515553}
City{name=Mar del Plata, country=Argentina, district=Buenos Aires, population=512880}
City{name=Petare, country=Venezuela, district=Miranda, population=488868}
City{name=Uberlândia, country=Brazil, district=Minas Gerais, population=487222}
City{name=Cochabamba, country=Bolivia, district=Cochabamba, population=482800}
City{name=Feira de Santana, country=Brazil, district=Bahia, population=479992}
City{name=Ribeirão Preto, country=Brazil, district=São Paulo, population=473276}
City{name=San Miguel de Tucumán, country=Argentina, district=Tucumán, population=470809}
City{name=Lanús, country=Argentina, district=Buenos Aires, population=469735}
City{name=Sorocaba, country=Brazil, district=São Paulo, population=466823}
City{name=Merlo, country=Argentina, district=Buenos Aires, population=463846}
City{name=Niterói, country=Brazil, district=Rio de Janeiro, population=459884}
City{name=Cuiabá, country=Brazil, district=Mato Grosso, population=453813}
City{name=Juiz de Fora, country=Brazil, district=Minas Gerais, population=450288}
City{name=Aracaju, country=Brazil, district=Sergipe, population=445555}
City{name=Maracay, country=Venezuela, district=Aragua, population=444443}
City{name=São João de Meriti, country=Brazil, district=Rio de Janeiro, population=440052}
City{name=Londrina, country=Brazil, district=Paraná, population=432257}
City{name=Joinville, country=Brazil, district=Santa Catarina, population=428011}
City{name=Belford Roxo, country=Brazil, district=Rio de Janeiro, population=425194}
City{name=Callao, country=Peru, district=Callao, population=424294}
City{name=General San Martín, country=Argentina, district=Buenos Aires, population=422542}
City{name=Santos, country=Brazil, district=São Paulo, population=408748}
City{name=Ananindeua, country=Brazil, district=Pará, population=400940}
City{name=Campos dos Goytacazes, country=Brazil, district=Rio de Janeiro, population=398418}
City{name=Ibagué, country=Colombia, district=Tolima, population=393664}
City{name=Puente Alto, country=Chile, district=Santiago, population=386236}
City{name=Pereira, country=Colombia, district=Risaralda, population=381725}
City{name=Mauá, country=Brazil, district=São Paulo, population=375055}
City{name=Salta, country=Argentina, district=Salta, population=367550}
City{name=Iquitos, country=Peru, district=Loreto, population=367000}
City{name=Santa Marta, country=Colombia, district=Magdalena, population=359147}
City{name=Carapicuíba, country=Brazil, district=São Paulo, population=357552}
City{name=Moreno, country=Argentina, district=Buenos Aires, population=356993}
City{name=Olinda, country=Brazil, district=Pernambuco, population=354732}
City{name=Santa Fé, country=Argentina, district=Santa Fé, population=353063}
City{name=Avellaneda, country=Argentina, district=Buenos Aires, population=353046}
City{name=Campina Grande, country=Brazil, district=Paraíba, population=352497}
City{name=Tres de Febrero, country=Argentina, district=Buenos Aires, population=352311}
City{name=São José do Rio Preto, country=Brazil, district=São Paulo, population=351944}
City{name=Caxias do Sul, country=Brazil, district=Rio Grande do Sul, population=349581}
City{name=Morón, country=Argentina, district=Buenos Aires, population=349246}
City{name=Moji das Cruzes, country=Brazil, district=São Paulo, population=339194}
City{name=Manizales, country=Colombia, district=Caldas, population=337580}
City{name=Chimbote, country=Peru, district=Ancash, population=336000}
City{name=Diadema, country=Brazil, district=São Paulo, population=335078}
City{name=Bello, country=Colombia, district=Antioquia, population=333470}
City{name=Pasto, country=Colombia, district=Nariño, population=332396}
City{name=Huancayo, country=Peru, district=Junín, population=327000}
City{name=Piura, country=Peru, district=Piura, population=325000}
City{name=Aparecida de Goiânia, country=Brazil, district=Goiás, population=324662}
City{name=Barcelona, country=Venezuela, district=Anzoátegui, population=322267}
City{name=Maturín, country=Venezuela, district=Monagas, population=319726}
City{name=San Cristóbal, country=Venezuela, district=Táchira, population=319373}
City{name=Piracicaba, country=Brazil, district=São Paulo, population=319104}
City{name=Cariacica, country=Brazil, district=Espírito Santo, population=319033}
City{name=Vila Velha, country=Brazil, district=Espírito Santo, population=318758}
City{name=Florencio Varela, country=Argentina, district=Buenos Aires, population=315432}
City{name=Pelotas, country=Brazil, district=Rio Grande do Sul, population=315415}
City{name=Bauru, country=Brazil, district=São Paulo, population=313670}
City{name=Viña del Mar, country=Chile, district=Valparaíso, population=312493}
City{name=Porto Velho, country=Brazil, district=Rondônia, population=309750}
City{name=San Isidro, country=Argentina, district=Buenos Aires, population=306341}
City{name=Serra, country=Brazil, district=Espírito Santo, population=302666}
City{name=Betim, country=Brazil, district=Minas Gerais, population=302108}
City{name=Ciudad Bolívar, country=Venezuela, district=Bolívar, population=301107}
City{name=Neiva, country=Colombia, district=Huila, population=300052}
City{name=Tigre, country=Argentina, district=Buenos Aires, population=296226}
City{name=Jundíaí, country=Brazil, district=São Paulo, population=296127}
City{name=Soledad, country=Colombia, district=Atlántico, population=295058}
City{name=Canoas, country=Brazil, district=Rio Grande do Sul, population=294125}
City{name=Valparaíso, country=Chile, district=Valparaíso, population=293800}
City{name=Cumaná, country=Venezuela, district=Sucre, population=293105}
City{name=Cusco, country=Peru, district=Cusco, population=291000}
City{name=Malvinas Argentinas, country=Argentina, district=Buenos Aires, population=290335}
City{name=Franca, country=Brazil, district=São Paulo, population=290139}
City{name=Armenia, country=Colombia, district=Quindío, population=288977}
City{name=Vicente López, country=Argentina, district=Buenos Aires, population=288341}
City{name=São Vicente, country=Brazil, district=São Paulo, population=286848}
City{name=Maringá, country=Brazil, district=Paraná, population=286461}
City{name=Montes Claros, country=Brazil, district=Minas Gerais, population=286058}
City{name=Anápolis, country=Brazil, district=Goiás, population=282197}
City{name=Florianópolis, country=Brazil, district=Santa Catarina, population=281928}
City{name=Petrópolis, country=Brazil, district=Rio de Janeiro, population=279183}
City{name=Talcahuano, country=Chile, district=Bíobío, population=277752}
City{name=Berazategui, country=Argentina, district=Buenos Aires, population=276916}
City{name=Villavicencio, country=Colombia, district=Meta, population=273140}
City{name=Soacha, country=Colombia, district=Cundinamarca, population=272058}
City{name=Itaquaquecetuba, country=Brazil, district=São Paulo, population=270874}
City{name=Vitória, country=Brazil, district=Espírito Santo, population=270626}
City{name=Cuenca, country=Ecuador, district=Azuay, population=270353}
City{name=Ponta Grossa, country=Brazil, district=Paraná, population=268013}
City{name=Valledupar, country=Colombia, district=Cesar, population=263247}
City{name=Rio Branco, country=Brazil, district=Acre, population=259537}
City{name=Foz do Iguaçu, country=Brazil, district=Paraná, population=259425}
City{name=Corrientes, country=Argentina, district=Corrientes, population=258103}
City{name=Macapá, country=Brazil, district=Amapá, population=256033}
City{name=Ilhéus, country=Brazil, district=Bahia, population=254970}
City{name=Georgetown, country=Guyana, district=Georgetown, population=254000}
City{name=Vitória da Conquista, country=Brazil, district=Bahia, population=253587}
City{name=Antofagasta, country=Chile, district=Antofagasta, population=251429}
City{name=Uberaba, country=Brazil, district=Minas Gerais, population=249225}
City{name=San Miguel, country=Argentina, district=Buenos Aires, population=248700}
City{name=Paulista, country=Brazil, district=Pernambuco, population=248473}
City{name=Montería, country=Colombia, district=Córdoba, population=248245}
City{name=Limeira, country=Brazil, district=São Paulo, population=245497}
City{name=Blumenau, country=Brazil, district=Santa Catarina, population=244379}
City{name=Caruaru, country=Brazil, district=Pernambuco, population=244247}
City{name=San Bernardo, country=Chile, district=Santiago, population=241910}
City{name=Santarém, country=Brazil, district=Pará, population=241771}
City{name=Volta Redonda, country=Brazil, district=Rio de Janeiro, population=240315}
City{name=Novo Hamburgo, country=Brazil, district=Rio Grande do Sul, population=239940}
City{name=Bahía Blanca, country=Argentina, district=Buenos Aires, population=239810}
City{name=Caucaia, country=Brazil, district=Ceará, population=238738}
City{name=Santa Maria, country=Brazil, district=Rio Grande do Sul, population=238473}
City{name=Cascavel, country=Brazil, district=Paraná, population=237510}
City{name=Guarujá, country=Brazil, district=São Paulo, population=237206}
City{name=Esteban Echeverría, country=Argentina, district=Buenos Aires, population=235760}
City{name=Temuco, country=Chile, district=La Araucanía, population=233041}
City{name=Ribeirão das Neves, country=Brazil, district=Minas Gerais, population=232685}
City{name=Governador Valadares, country=Brazil, district=Minas Gerais, population=231724}
City{name=Resistencia, country=Argentina, district=Chaco, population=229212}
City{name=Taubaté, country=Brazil, district=São Paulo, population=229130}
City{name=Itagüí, country=Colombia, district=Antioquia, population=228985}
City{name=Palmira, country=Colombia, district=Valle, population=226509}
City{name=Mérida, country=Venezuela, district=Mérida, population=224887}
City{name=Imperatriz, country=Brazil, district=Maranhão, population=224564}
City{name=Buenaventura, country=Colombia, district=Valle, population=224336}
City{name=Oruro, country=Bolivia, district=Oruro, population=223553}
City{name=Gravataí, country=Brazil, district=Rio Grande do Sul, population=223011}
City{name=Embu, country=Brazil, district=São Paulo, population=222223}
City{name=Floridablanca, country=Colombia, district=Santander, population=221913}
City{name=José C. Paz, country=Argentina, district=Buenos Aires, population=221754}
City{name=Cabimas, country=Venezuela, district=Zulia, population=221329}
City{name=Pucallpa, country=Peru, district=Ucayali, population=220866}
City{name=Sincelejo, country=Colombia, district=Sucre, population=220704}
City{name=Barinas, country=Venezuela, district=Barinas, population=217831}
City{name=Concepción, country=Chile, district=Bíobío, population=217664}
City{name=Turmero, country=Venezuela, district=Aragua, population=217499}
City{name=Tacna, country=Peru, district=Tacna, population=215683}
City{name=Mossoró, country=Brazil, district=Rio Grande do Norte, population=214901}
City{name=Várzea Grande, country=Brazil, district=Mato Grosso, population=214435}
City{name=Rancagua, country=Chile, district=O´Higgins, population=212977}
City{name=Petrolina, country=Brazil, district=Pernambuco, population=210540}
City{name=Machala, country=Ecuador, district=El Oro, population=210368}
City{name=Barueri, country=Brazil, district=São Paulo, population=208426}
City{name=Viamão, country=Brazil, district=Rio Grande do Sul, population=207557}
City{name=Baruta, country=Venezuela, district=Miranda, population=207290}
City{name=Paraná, country=Argentina, district=Entre Rios, population=207041}
City{name=Godoy Cruz, country=Argentina, district=Mendoza, population=206998}
City{name=Ipatinga, country=Brazil, district=Minas Gerais, population=206338}
City{name=Santo Domingo de los Colorados, country=Ecuador, district=Pichincha, population=202111}
City{name=Posadas, country=Argentina, district=Misiones, population=201273}
City{name=Juazeiro, country=Brazil, district=Bahia, population=201073}
City{name=Popayán, country=Colombia, district=Cauca, population=200719}
City{name=Guaymallén, country=Argentina, district=Mendoza, population=200595}
City{name=Juazeiro do Norte, country=Brazil, district=Ceará, population=199636}
City{name=Taboão da Serra, country=Brazil, district=São Paulo, population=197550}
City{name=São José dos Pinhais, country=Brazil, district=Paraná, population=196884}
City{name=Magé, country=Brazil, district=Rio de Janeiro, population=196147}
City{name=Suzano, country=Brazil, district=São Paulo, population=195434}
City{name=Ica, country=Peru, district=Ica, population=194820}
City{name=Santiago del Estero, country=Argentina, district=Santiago del Estero, population=189947}
City{name=São Leopoldo, country=Brazil, district=Rio Grande do Sul, population=189258}
City{name=Arica, country=Chile, district=Tarapacá, population=189036}
City{name=Marília, country=Brazil, district=São Paulo, population=188691}
City{name=Puerto Cabello, country=Venezuela, district=Carabobo, population=187722}
City{name=Talca, country=Chile, district=Maule, population=187557}
City{name=São Carlos, country=Brazil, district=São Paulo, population=187122}
City{name=Sumaré, country=Brazil, district=São Paulo, population=186205}
City{name=Santa Ana de Coro, country=Venezuela, district=Falcón, population=185766}
City{name=Presidente Prudente, country=Brazil, district=São Paulo, population=185340}
City{name=Divinópolis, country=Brazil, district=Minas Gerais, population=185047}
City{name=Sete Lagoas, country=Brazil, district=Minas Gerais, population=182984}
City{name=Rio Grande, country=Brazil, district=Rio Grande do Sul, population=182222}
City{name=Itabuna, country=Brazil, district=Bahia, population=182148}
City{name=Jequié, country=Brazil, district=Bahia, population=179128}
City{name=Arapiraca, country=Brazil, district=Alagoas, population=178988}
City{name=Los Teques, country=Venezuela, district=Miranda, population=178784}
City{name=San Salvador de Jujuy, country=Argentina, district=Jujuy, population=178748}
City{name=Sucre, country=Bolivia, district=Chuquisaca, population=178426}
