City{name=Dhaka, country=Bangladesh, district=Dhaka, population=3612850}
City{name=Chittagong, country=Bangladesh, district=Chittagong, population=1392860}
City{name=Khulna, country=Bangladesh, district=Khulna, population=663340}
City{name=Rajshahi, country=Bangladesh, district=Rajshahi, population=294056}
City{name=Narayanganj, country=Bangladesh, district=Dhaka, population=202134}
City{name=Rangpur, country=Bangladesh, district=Rajshahi, population=191398}
City{name=Mymensingh, country=Bangladesh, district=Dhaka, population=188713}
City{name=Barisal, country=Bangladesh, district=Barisal, population=170232}
City{name=Tungi, country=Bangladesh, district=Dhaka, population=168702}
City{name=Jessore, country=Bangladesh, district=Khulna, population=139710}
City{name=Comilla, country=Bangladesh, district=Chittagong, population=135313}
City{name=Nawabganj, country=Bangladesh, district=Rajshahi, population=130577}
City{name=Dinajpur, country=Bangladesh, district=Rajshahi, population=127815}
City{name=Bogra, country=Bangladesh, district=Rajshahi, population=120170}
City{name=Sylhet, country=Bangladesh, district=Sylhet, population=117396}
City{name=Brahmanbaria, country=Bangladesh, district=Chittagong, population=109032}
City{name=Tangail, country=Bangladesh, district=Dhaka, population=106004}
City{name=Jamalpur, country=Bangladesh, district=Dhaka, population=103556}
City{name=Pabna, country=Bangladesh, district=Rajshahi, population=103277}
City{name=Naogaon, country=Bangladesh, district=Rajshahi, population=101266}
City{name=Sirajganj, country=Bangladesh, district=Rajshahi, population=99669}
City{name=Narsinghdi, country=Bangladesh, district=Dhaka, population=98342}
City{name=Saidpur, country=Bangladesh, district=Rajshahi, population=96777}
City{name=Gazipur, country=Bangladesh, district=Dhaka, population=96717}
