City{name=Minsk, country=Belarus, district=Horad Minsk, population=1674000}
City{name=Gomel, country=Belarus, district=Gomel, population=475000}
City{name=Mogiljov, country=Belarus, district=Mogiljov, population=356000}
City{name=Vitebsk, country=Belarus, district=Vitebsk, population=340000}
City{name=Grodno, country=Belarus, district=Grodno, population=302000}
City{name=Brest, country=Belarus, district=Brest, population=286000}
City{name=Bobruisk, country=Belarus, district=Mogiljov, population=221000}
City{name=Baranovitši, country=Belarus, district=Brest, population=167000}
City{name=Borisov, country=Belarus, district=Minsk, population=151000}
City{name=Pinsk, country=Belarus, district=Brest, population=130000}
City{name=Orša, country=Belarus, district=Vitebsk, population=124000}
City{name=Mozyr, country=Belarus, district=Gomel, population=110000}
City{name=Novopolotsk, country=Belarus, district=Vitebsk, population=106000}
City{name=Lida, country=Belarus, district=Grodno, population=101000}
City{name=Soligorsk, country=Belarus, district=Minsk, population=101000}
City{name=Molodetšno, country=Belarus, district=Minsk, population=97000}
