City{name=São Paulo, country=Brazil, district=São Paulo, population=9968485}
City{name=Rio de Janeiro, country=Brazil, district=Rio de Janeiro, population=5598953}
City{name=Salvador, country=Brazil, district=Bahia, population=2302832}
City{name=Belo Horizonte, country=Brazil, district=Minas Gerais, population=2139125}
City{name=Fortaleza, country=Brazil, district=Ceará, population=2097757}
City{name=Brasília, country=Brazil, district=Distrito Federal, population=1969868}
City{name=Curitiba, country=Brazil, district=Paraná, population=1584232}
City{name=Recife, country=Brazil, district=Pernambuco, population=1378087}
City{name=Porto Alegre, country=Brazil, district=Rio Grande do Sul, population=1314032}
City{name=Manaus, country=Brazil, district=Amazonas, population=1255049}
City{name=Belém, country=Brazil, district=Pará, population=1186926}
City{name=Guarulhos, country=Brazil, district=São Paulo, population=1095874}
City{name=Goiânia, country=Brazil, district=Goiás, population=1056330}
City{name=Campinas, country=Brazil, district=São Paulo, population=950043}
City{name=São Gonçalo, country=Brazil, district=Rio de Janeiro, population=869254}
City{name=Nova Iguaçu, country=Brazil, district=Rio de Janeiro, population=862225}
City{name=São Luís, country=Brazil, district=Maranhão, population=837588}
City{name=Maceió, country=Brazil, district=Alagoas, population=786288}
City{name=Duque de Caxias, country=Brazil, district=Rio de Janeiro, population=746758}
City{name=São Bernardo do Campo, country=Brazil, district=São Paulo, population=723132}
City{name=Teresina, country=Brazil, district=Piauí, population=691942}
City{name=Natal, country=Brazil, district=Rio Grande do Norte, population=688955}
City{name=Osasco, country=Brazil, district=São Paulo, population=659604}
City{name=Campo Grande, country=Brazil, district=Mato Grosso do Sul, population=649593}
City{name=Santo André, country=Brazil, district=São Paulo, population=630073}
City{name=João Pessoa, country=Brazil, district=Paraíba, population=584029}
City{name=Jaboatão dos Guararapes, country=Brazil, district=Pernambuco, population=558680}
City{name=Contagem, country=Brazil, district=Minas Gerais, population=520801}
City{name=São José dos Campos, country=Brazil, district=São Paulo, population=515553}
City{name=Uberlândia, country=Brazil, district=Minas Gerais, population=487222}
City{name=Feira de Santana, country=Brazil, district=Bahia, population=479992}
City{name=Ribeirão Preto, country=Brazil, district=São Paulo, population=473276}
City{name=Sorocaba, country=Brazil, district=São Paulo, population=466823}
City{name=Niterói, country=Brazil, district=Rio de Janeiro, population=459884}
City{name=Cuiabá, country=Brazil, district=Mato Grosso, population=453813}
City{name=Juiz de Fora, country=Brazil, district=Minas Gerais, population=450288}
City{name=Aracaju, country=Brazil, district=Sergipe, population=445555}
City{name=São João de Meriti, country=Brazil, district=Rio de Janeiro, population=440052}
City{name=Londrina, country=Brazil, district=Paraná, population=432257}
City{name=Joinville, country=Brazil, district=Santa Catarina, population=428011}
City{name=Belford Roxo, country=Brazil, district=Rio de Janeiro, population=425194}
City{name=Santos, country=Brazil, district=São Paulo, population=408748}
City{name=Ananindeua, country=Brazil, district=Pará, population=400940}
City{name=Campos dos Goytacazes, country=Brazil, district=Rio de Janeiro, population=398418}
City{name=Mauá, country=Brazil, district=São Paulo, population=375055}
City{name=Carapicuíba, country=Brazil, district=São Paulo, population=357552}
City{name=Olinda, country=Brazil, district=Pernambuco, population=354732}
City{name=Campina Grande, country=Brazil, district=Paraíba, population=352497}
