City{name=Shanghai, country=China, district=Shanghai, population=9696300}
City{name=Peking, country=China, district=Peking, population=7472000}
City{name=Chongqing, country=China, district=Chongqing, population=6351600}
City{name=Tianjin, country=China, district=Tianjin, population=5286800}
City{name=Wuhan, country=China, district=Hubei, population=4344600}
City{name=Harbin, country=China, district=Heilongjiang, population=4289800}
City{name=Shenyang, country=China, district=Liaoning, population=4265200}
City{name=Kanton [Guangzhou], country=China, district=Guangdong, population=4256300}
City{name=Chengdu, country=China, district=Sichuan, population=3361500}
City{name=Nanking [Nanjing], country=China, district=Jiangsu, population=2870300}
City{name=Changchun, country=China, district=Jilin, population=2812000}
City{name=Xi´an, country=China, district=Shaanxi, population=2761400}
City{name=Dalian, country=China, district=Liaoning, population=2697000}
City{name=Qingdao, country=China, district=Shandong, population=2596000}
City{name=Jinan, country=China, district=Shandong, population=2278100}
City{name=Hangzhou, country=China, district=Zhejiang, population=2190500}
City{name=Zhengzhou, country=China, district=Henan, population=2107200}
City{name=Shijiazhuang, country=China, district=Hebei, population=2041500}
City{name=Taiyuan, country=China, district=Shanxi, population=1968400}
City{name=Kunming, country=China, district=Yunnan, population=1829500}
City{name=Changsha, country=China, district=Hunan, population=1809800}
City{name=Nanchang, country=China, district=Jiangxi, population=1691600}
City{name=Fuzhou, country=China, district=Fujian, population=1593800}
City{name=Lanzhou, country=China, district=Gansu, population=1565800}
City{name=Guiyang, country=China, district=Guizhou, population=1465200}
City{name=Ningbo, country=China, district=Zhejiang, population=1371200}
City{name=Hefei, country=China, district=Anhui, population=1369100}
City{name=Urumtši [Ürümqi], country=China, district=Xinxiang, population=1310100}
City{name=Anshan, country=China, district=Liaoning, population=1200000}
City{name=Fushun, country=China, district=Liaoning, population=1200000}
City{name=Nanning, country=China, district=Guangxi, population=1161800}
City{name=Zibo, country=China, district=Shandong, population=1140000}
City{name=Qiqihar, country=China, district=Heilongjiang, population=1070000}
City{name=Jilin, country=China, district=Jilin, population=1040000}
City{name=Tangshan, country=China, district=Hebei, population=1040000}
City{name=Baotou, country=China, district=Inner Mongolia, population=980000}
City{name=Shenzhen, country=China, district=Guangdong, population=950500}
City{name=Hohhot, country=China, district=Inner Mongolia, population=916700}
City{name=Handan, country=China, district=Hebei, population=840000}
City{name=Wuxi, country=China, district=Jiangsu, population=830000}
City{name=Xuzhou, country=China, district=Jiangsu, population=810000}
City{name=Datong, country=China, district=Shanxi, population=800000}
City{name=Yichun, country=China, district=Heilongjiang, population=800000}
City{name=Benxi, country=China, district=Liaoning, population=770000}
City{name=Luoyang, country=China, district=Henan, population=760000}
City{name=Suzhou, country=China, district=Jiangsu, population=710000}
City{name=Xining, country=China, district=Qinghai, population=700200}
City{name=Huainan, country=China, district=Anhui, population=700000}
City{name=Jixi, country=China, district=Heilongjiang, population=683885}
City{name=Daqing, country=China, district=Heilongjiang, population=660000}
City{name=Fuxin, country=China, district=Liaoning, population=640000}
City{name=Amoy [Xiamen], country=China, district=Fujian, population=627500}
City{name=Liuzhou, country=China, district=Guangxi, population=610000}
City{name=Shantou, country=China, district=Guangdong, population=580000}
City{name=Jinzhou, country=China, district=Liaoning, population=570000}
City{name=Mudanjiang, country=China, district=Heilongjiang, population=570000}
City{name=Yinchuan, country=China, district=Ningxia, population=544500}
City{name=Changzhou, country=China, district=Jiangsu, population=530000}
City{name=Zhangjiakou, country=China, district=Hebei, population=530000}
City{name=Dandong, country=China, district=Liaoning, population=520000}
City{name=Hegang, country=China, district=Heilongjiang, population=520000}
City{name=Kaifeng, country=China, district=Henan, population=510000}
City{name=Jiamusi, country=China, district=Heilongjiang, population=493409}
City{name=Liaoyang, country=China, district=Liaoning, population=492559}
City{name=Hengyang, country=China, district=Hunan, population=487148}
City{name=Baoding, country=China, district=Hebei, population=483155}
City{name=Hunjiang, country=China, district=Jilin, population=482043}
City{name=Xinxiang, country=China, district=Henan, population=473762}
City{name=Huangshi, country=China, district=Hubei, population=457601}
City{name=Haikou, country=China, district=Hainan, population=454300}
City{name=Yantai, country=China, district=Shandong, population=452127}
City{name=Bengbu, country=China, district=Anhui, population=449245}
City{name=Xiangtan, country=China, district=Hunan, population=441968}
