City{name=Santafé de Bogotá, country=Colombia, district=Santafé de Bogotá, population=6260862}
City{name=Cali, country=Colombia, district=Valle, population=2077386}
City{name=Medellín, country=Colombia, district=Antioquia, population=1861265}
City{name=Barranquilla, country=Colombia, district=Atlántico, population=1223260}
City{name=Cartagena, country=Colombia, district=Bolívar, population=805757}
City{name=Cúcuta, country=Colombia, district=Norte de Santander, population=606932}
City{name=Bucaramanga, country=Colombia, district=Santander, population=515555}
City{name=Ibagué, country=Colombia, district=Tolima, population=393664}
City{name=Pereira, country=Colombia, district=Risaralda, population=381725}
City{name=Santa Marta, country=Colombia, district=Magdalena, population=359147}
City{name=Manizales, country=Colombia, district=Caldas, population=337580}
City{name=Bello, country=Colombia, district=Antioquia, population=333470}
City{name=Pasto, country=Colombia, district=Nariño, population=332396}
City{name=Neiva, country=Colombia, district=Huila, population=300052}
City{name=Soledad, country=Colombia, district=Atlántico, population=295058}
City{name=Armenia, country=Colombia, district=Quindío, population=288977}
City{name=Villavicencio, country=Colombia, district=Meta, population=273140}
City{name=Soacha, country=Colombia, district=Cundinamarca, population=272058}
City{name=Valledupar, country=Colombia, district=Cesar, population=263247}
City{name=Montería, country=Colombia, district=Córdoba, population=248245}
City{name=Itagüí, country=Colombia, district=Antioquia, population=228985}
City{name=Palmira, country=Colombia, district=Valle, population=226509}
City{name=Buenaventura, country=Colombia, district=Valle, population=224336}
City{name=Floridablanca, country=Colombia, district=Santander, population=221913}
City{name=Sincelejo, country=Colombia, district=Sucre, population=220704}
City{name=Popayán, country=Colombia, district=Cauca, population=200719}
City{name=Barrancabermeja, country=Colombia, district=Santander, population=178020}
City{name=Dos Quebradas, country=Colombia, district=Risaralda, population=159363}
City{name=Tuluá, country=Colombia, district=Valle, population=152488}
City{name=Envigado, country=Colombia, district=Antioquia, population=135848}
City{name=Cartago, country=Colombia, district=Valle, population=125884}
City{name=Girardot, country=Colombia, district=Cundinamarca, population=110963}
City{name=Buga, country=Colombia, district=Valle, population=110699}
City{name=Tunja, country=Colombia, district=Boyacá, population=109740}
City{name=Florencia, country=Colombia, district=Caquetá, population=108574}
City{name=Maicao, country=Colombia, district=La Guajira, population=108053}
City{name=Sogamoso, country=Colombia, district=Boyacá, population=107728}
City{name=Giron, country=Colombia, district=Santander, population=90688}
