City{name=Kinshasa, country=Congo, The Democratic Republic of the, district=Kinshasa, population=5064000}
City{name=Lubumbashi, country=Congo, The Democratic Republic of the, district=Shaba, population=851381}
City{name=Mbuji-Mayi, country=Congo, The Democratic Republic of the, district=East Kasai, population=806475}
City{name=Kolwezi, country=Congo, The Democratic Republic of the, district=Shaba, population=417810}
City{name=Kisangani, country=Congo, The Democratic Republic of the, district=Haute-Zaïre, population=417517}
City{name=Kananga, country=Congo, The Democratic Republic of the, district=West Kasai, population=393030}
City{name=Likasi, country=Congo, The Democratic Republic of the, district=Shaba, population=299118}
City{name=Bukavu, country=Congo, The Democratic Republic of the, district=South Kivu, population=201569}
City{name=Kikwit, country=Congo, The Democratic Republic of the, district=Bandundu, population=182142}
City{name=Tshikapa, country=Congo, The Democratic Republic of the, district=West Kasai, population=180860}
City{name=Matadi, country=Congo, The Democratic Republic of the, district=Bas-Zaïre, population=172730}
City{name=Mbandaka, country=Congo, The Democratic Republic of the, district=Equateur, population=169841}
City{name=Mwene-Ditu, country=Congo, The Democratic Republic of the, district=East Kasai, population=137459}
City{name=Boma, country=Congo, The Democratic Republic of the, district=Bas-Zaïre, population=135284}
City{name=Uvira, country=Congo, The Democratic Republic of the, district=South Kivu, population=115590}
City{name=Butembo, country=Congo, The Democratic Republic of the, district=North Kivu, population=109406}
City{name=Goma, country=Congo, The Democratic Republic of the, district=North Kivu, population=109094}
City{name=Kalemie, country=Congo, The Democratic Republic of the, district=Shaba, population=101309}
