City{name=Guayaquil, country=Ecuador, district=Guayas, population=2070040}
City{name=Quito, country=Ecuador, district=Pichincha, population=1573458}
City{name=Cuenca, country=Ecuador, district=Azuay, population=270353}
City{name=Machala, country=Ecuador, district=El Oro, population=210368}
City{name=Santo Domingo de los Colorados, country=Ecuador, district=Pichincha, population=202111}
City{name=Portoviejo, country=Ecuador, district=Manabí, population=176413}
City{name=Ambato, country=Ecuador, district=Tungurahua, population=169612}
City{name=Manta, country=Ecuador, district=Manabí, population=164739}
City{name=Duran [Eloy Alfaro], country=Ecuador, district=Guayas, population=152514}
City{name=Ibarra, country=Ecuador, district=Imbabura, population=130643}
City{name=Quevedo, country=Ecuador, district=Los Ríos, population=129631}
City{name=Milagro, country=Ecuador, district=Guayas, population=124177}
City{name=Loja, country=Ecuador, district=Loja, population=123875}
City{name=Ríobamba, country=Ecuador, district=Chimborazo, population=123163}
City{name=Esmeraldas, country=Ecuador, district=Esmeraldas, population=123045}
