City{name=Cairo, country=Egypt, district=Kairo, population=6789479}
City{name=Alexandria, country=Egypt, district=Aleksandria, population=3328196}
City{name=Giza, country=Egypt, district=Giza, population=2221868}
City{name=Shubra al-Khayma, country=Egypt, district=al-Qalyubiya, population=870716}
City{name=Port Said, country=Egypt, district=Port Said, population=469533}
City{name=Suez, country=Egypt, district=Suez, population=417610}
City{name=al-Mahallat al-Kubra, country=Egypt, district=al-Gharbiya, population=395402}
City{name=Tanta, country=Egypt, district=al-Gharbiya, population=371010}
City{name=al-Mansura, country=Egypt, district=al-Daqahliya, population=369621}
City{name=Luxor, country=Egypt, district=Luxor, population=360503}
City{name=Asyut, country=Egypt, district=Asyut, population=343498}
City{name=Bahtim, country=Egypt, district=al-Qalyubiya, population=275807}
City{name=Zagazig, country=Egypt, district=al-Sharqiya, population=267351}
City{name=al-Faiyum, country=Egypt, district=al-Faiyum, population=260964}
City{name=Ismailia, country=Egypt, district=Ismailia, population=254477}
City{name=Kafr al-Dawwar, country=Egypt, district=al-Buhayra, population=231978}
City{name=Assuan, country=Egypt, district=Assuan, population=219017}
City{name=Damanhur, country=Egypt, district=al-Buhayra, population=212203}
City{name=al-Minya, country=Egypt, district=al-Minya, population=201360}
City{name=Bani Suwayf, country=Egypt, district=Bani Suwayf, population=172032}
City{name=Qina, country=Egypt, district=Qina, population=171275}
City{name=Sawhaj, country=Egypt, district=Sawhaj, population=170125}
City{name=Shibin al-Kawm, country=Egypt, district=al-Minufiya, population=159909}
City{name=Bulaq al-Dakrur, country=Egypt, district=Giza, population=148787}
City{name=Banha, country=Egypt, district=al-Qalyubiya, population=145792}
City{name=Warraq al-Arab, country=Egypt, district=Giza, population=127108}
City{name=Kafr al-Shaykh, country=Egypt, district=Kafr al-Shaykh, population=124819}
City{name=Mallawi, country=Egypt, district=al-Minya, population=119283}
City{name=Bilbays, country=Egypt, district=al-Sharqiya, population=113608}
City{name=Mit Ghamr, country=Egypt, district=al-Daqahliya, population=101801}
City{name=al-Arish, country=Egypt, district=Shamal Sina, population=100447}
City{name=Talkha, country=Egypt, district=al-Daqahliya, population=97700}
City{name=Qalyub, country=Egypt, district=al-Qalyubiya, population=97200}
City{name=Jirja, country=Egypt, district=Sawhaj, population=95400}
City{name=Idfu, country=Egypt, district=Qina, population=94200}
City{name=al-Hawamidiya, country=Egypt, district=Giza, population=91700}
City{name=Disuq, country=Egypt, district=Kafr al-Shaykh, population=91300}
