City{name=Berlin, country=Germany, district=Berliini, population=3386667}
City{name=Hamburg, country=Germany, district=Hamburg, population=1704735}
City{name=Munich [München], country=Germany, district=Baijeri, population=1194560}
City{name=Köln, country=Germany, district=Nordrhein-Westfalen, population=962507}
City{name=Frankfurt am Main, country=Germany, district=Hessen, population=643821}
City{name=Essen, country=Germany, district=Nordrhein-Westfalen, population=599515}
City{name=Dortmund, country=Germany, district=Nordrhein-Westfalen, population=590213}
City{name=Stuttgart, country=Germany, district=Baden-Württemberg, population=582443}
City{name=Düsseldorf, country=Germany, district=Nordrhein-Westfalen, population=568855}
City{name=Bremen, country=Germany, district=Bremen, population=540330}
City{name=Duisburg, country=Germany, district=Nordrhein-Westfalen, population=519793}
City{name=Hannover, country=Germany, district=Niedersachsen, population=514718}
City{name=Leipzig, country=Germany, district=Saksi, population=489532}
City{name=Nürnberg, country=Germany, district=Baijeri, population=486628}
City{name=Dresden, country=Germany, district=Saksi, population=476668}
City{name=Bochum, country=Germany, district=Nordrhein-Westfalen, population=392830}
City{name=Wuppertal, country=Germany, district=Nordrhein-Westfalen, population=368993}
City{name=Bielefeld, country=Germany, district=Nordrhein-Westfalen, population=321125}
City{name=Mannheim, country=Germany, district=Baden-Württemberg, population=307730}
City{name=Bonn, country=Germany, district=Nordrhein-Westfalen, population=301048}
City{name=Gelsenkirchen, country=Germany, district=Nordrhein-Westfalen, population=281979}
City{name=Karlsruhe, country=Germany, district=Baden-Württemberg, population=277204}
City{name=Wiesbaden, country=Germany, district=Hessen, population=268716}
City{name=Münster, country=Germany, district=Nordrhein-Westfalen, population=264670}
City{name=Mönchengladbach, country=Germany, district=Nordrhein-Westfalen, population=263697}
City{name=Chemnitz, country=Germany, district=Saksi, population=263222}
City{name=Augsburg, country=Germany, district=Baijeri, population=254867}
City{name=Halle/Saale, country=Germany, district=Anhalt Sachsen, population=254360}
City{name=Braunschweig, country=Germany, district=Niedersachsen, population=246322}
City{name=Aachen, country=Germany, district=Nordrhein-Westfalen, population=243825}
City{name=Krefeld, country=Germany, district=Nordrhein-Westfalen, population=241769}
City{name=Magdeburg, country=Germany, district=Anhalt Sachsen, population=235073}
City{name=Kiel, country=Germany, district=Schleswig-Holstein, population=233795}
City{name=Oberhausen, country=Germany, district=Nordrhein-Westfalen, population=222349}
City{name=Lübeck, country=Germany, district=Schleswig-Holstein, population=213326}
City{name=Hagen, country=Germany, district=Nordrhein-Westfalen, population=205201}
City{name=Rostock, country=Germany, district=Mecklenburg-Vorpomme, population=203279}
City{name=Freiburg im Breisgau, country=Germany, district=Baden-Württemberg, population=202455}
City{name=Erfurt, country=Germany, district=Thüringen, population=201267}
City{name=Kassel, country=Germany, district=Hessen, population=196211}
City{name=Saarbrücken, country=Germany, district=Saarland, population=183836}
City{name=Mainz, country=Germany, district=Rheinland-Pfalz, population=183134}
City{name=Hamm, country=Germany, district=Nordrhein-Westfalen, population=181804}
City{name=Herne, country=Germany, district=Nordrhein-Westfalen, population=175661}
City{name=Mülheim an der Ruhr, country=Germany, district=Nordrhein-Westfalen, population=173895}
City{name=Solingen, country=Germany, district=Nordrhein-Westfalen, population=165583}
City{name=Osnabrück, country=Germany, district=Niedersachsen, population=164539}
City{name=Ludwigshafen am Rhein, country=Germany, district=Rheinland-Pfalz, population=163771}
City{name=Leverkusen, country=Germany, district=Nordrhein-Westfalen, population=160841}
City{name=Oldenburg, country=Germany, district=Niedersachsen, population=154125}
City{name=Neuss, country=Germany, district=Nordrhein-Westfalen, population=149702}
City{name=Heidelberg, country=Germany, district=Baden-Württemberg, population=139672}
City{name=Darmstadt, country=Germany, district=Hessen, population=137776}
City{name=Paderborn, country=Germany, district=Nordrhein-Westfalen, population=137647}
City{name=Potsdam, country=Germany, district=Brandenburg, population=128983}
City{name=Würzburg, country=Germany, district=Baijeri, population=127350}
City{name=Regensburg, country=Germany, district=Baijeri, population=125236}
City{name=Recklinghausen, country=Germany, district=Nordrhein-Westfalen, population=125022}
City{name=Göttingen, country=Germany, district=Niedersachsen, population=124775}
City{name=Bremerhaven, country=Germany, district=Bremen, population=122735}
City{name=Wolfsburg, country=Germany, district=Niedersachsen, population=121954}
City{name=Bottrop, country=Germany, district=Nordrhein-Westfalen, population=121097}
City{name=Remscheid, country=Germany, district=Nordrhein-Westfalen, population=120125}
City{name=Heilbronn, country=Germany, district=Baden-Württemberg, population=119526}
City{name=Pforzheim, country=Germany, district=Baden-Württemberg, population=117227}
City{name=Offenbach am Main, country=Germany, district=Hessen, population=116627}
City{name=Ulm, country=Germany, district=Baden-Württemberg, population=116103}
City{name=Ingolstadt, country=Germany, district=Baijeri, population=114826}
City{name=Gera, country=Germany, district=Thüringen, population=114718}
City{name=Salzgitter, country=Germany, district=Niedersachsen, population=112934}
City{name=Cottbus, country=Germany, district=Brandenburg, population=110894}
City{name=Reutlingen, country=Germany, district=Baden-Württemberg, population=110343}
City{name=Fürth, country=Germany, district=Baijeri, population=109771}
City{name=Siegen, country=Germany, district=Nordrhein-Westfalen, population=109225}
City{name=Koblenz, country=Germany, district=Rheinland-Pfalz, population=108003}
City{name=Moers, country=Germany, district=Nordrhein-Westfalen, population=106837}
City{name=Bergisch Gladbach, country=Germany, district=Nordrhein-Westfalen, population=106150}
City{name=Zwickau, country=Germany, district=Saksi, population=104146}
City{name=Hildesheim, country=Germany, district=Niedersachsen, population=104013}
City{name=Witten, country=Germany, district=Nordrhein-Westfalen, population=103384}
City{name=Schwerin, country=Germany, district=Mecklenburg-Vorpomme, population=102878}
City{name=Erlangen, country=Germany, district=Baijeri, population=100750}
City{name=Kaiserslautern, country=Germany, district=Rheinland-Pfalz, population=100025}
City{name=Trier, country=Germany, district=Rheinland-Pfalz, population=99891}
City{name=Jena, country=Germany, district=Thüringen, population=99779}
City{name=Iserlohn, country=Germany, district=Nordrhein-Westfalen, population=99474}
City{name=Gütersloh, country=Germany, district=Nordrhein-Westfalen, population=95028}
City{name=Marl, country=Germany, district=Nordrhein-Westfalen, population=93735}
City{name=Lünen, country=Germany, district=Nordrhein-Westfalen, population=92044}
City{name=Düren, country=Germany, district=Nordrhein-Westfalen, population=91092}
City{name=Ratingen, country=Germany, district=Nordrhein-Westfalen, population=90951}
City{name=Velbert, country=Germany, district=Nordrhein-Westfalen, population=89881}
City{name=Esslingen am Neckar, country=Germany, district=Baden-Württemberg, population=89667}
