City{name=Mumbai (Bombay), country=India, district=Maharashtra, population=10500000}
City{name=Delhi, country=India, district=Delhi, population=7206704}
City{name=Calcutta [Kolkata], country=India, district=West Bengali, population=4399819}
City{name=Chennai (Madras), country=India, district=Tamil Nadu, population=3841396}
City{name=Hyderabad, country=India, district=Andhra Pradesh, population=2964638}
City{name=Ahmedabad, country=India, district=Gujarat, population=2876710}
City{name=Bangalore, country=India, district=Karnataka, population=2660088}
City{name=Kanpur, country=India, district=Uttar Pradesh, population=1874409}
City{name=Nagpur, country=India, district=Maharashtra, population=1624752}
City{name=Lucknow, country=India, district=Uttar Pradesh, population=1619115}
City{name=Pune, country=India, district=Maharashtra, population=1566651}
City{name=Surat, country=India, district=Gujarat, population=1498817}
City{name=Jaipur, country=India, district=Rajasthan, population=1458483}
City{name=Indore, country=India, district=Madhya Pradesh, population=1091674}
City{name=Bhopal, country=India, district=Madhya Pradesh, population=1062771}
City{name=Ludhiana, country=India, district=Punjab, population=1042740}
City{name=Vadodara (Baroda), country=India, district=Gujarat, population=1031346}
City{name=Kalyan, country=India, district=Maharashtra, population=1014557}
City{name=Madurai, country=India, district=Tamil Nadu, population=977856}
City{name=Haora (Howrah), country=India, district=West Bengali, population=950435}
City{name=Varanasi (Benares), country=India, district=Uttar Pradesh, population=929270}
City{name=Patna, country=India, district=Bihar, population=917243}
City{name=Srinagar, country=India, district=Jammu and Kashmir, population=892506}
City{name=Agra, country=India, district=Uttar Pradesh, population=891790}
City{name=Coimbatore, country=India, district=Tamil Nadu, population=816321}
City{name=Thane (Thana), country=India, district=Maharashtra, population=803389}
City{name=Allahabad, country=India, district=Uttar Pradesh, population=792858}
City{name=Meerut, country=India, district=Uttar Pradesh, population=753778}
City{name=Vishakhapatnam, country=India, district=Andhra Pradesh, population=752037}
City{name=Jabalpur, country=India, district=Madhya Pradesh, population=741927}
City{name=Amritsar, country=India, district=Punjab, population=708835}
City{name=Faridabad, country=India, district=Haryana, population=703592}
City{name=Vijayawada, country=India, district=Andhra Pradesh, population=701827}
City{name=Gwalior, country=India, district=Madhya Pradesh, population=690765}
City{name=Jodhpur, country=India, district=Rajasthan, population=666279}
City{name=Nashik (Nasik), country=India, district=Maharashtra, population=656925}
City{name=Hubli-Dharwad, country=India, district=Karnataka, population=648298}
City{name=Solapur (Sholapur), country=India, district=Maharashtra, population=604215}
City{name=Ranchi, country=India, district=Jharkhand, population=599306}
City{name=Bareilly, country=India, district=Uttar Pradesh, population=587211}
City{name=Guwahati (Gauhati), country=India, district=Assam, population=584342}
City{name=Shambajinagar (Aurangabad), country=India, district=Maharashtra, population=573272}
City{name=Cochin (Kochi), country=India, district=Kerala, population=564589}
City{name=Rajkot, country=India, district=Gujarat, population=559407}
City{name=Kota, country=India, district=Rajasthan, population=537371}
City{name=Thiruvananthapuram (Trivandrum, country=India, district=Kerala, population=524006}
City{name=Pimpri-Chinchwad, country=India, district=Maharashtra, population=517083}
City{name=Jalandhar (Jullundur), country=India, district=Punjab, population=509510}
City{name=Gorakhpur, country=India, district=Uttar Pradesh, population=505566}
City{name=Chandigarh, country=India, district=Chandigarh, population=504094}
City{name=Mysore, country=India, district=Karnataka, population=480692}
City{name=Aligarh, country=India, district=Uttar Pradesh, population=480520}
City{name=Guntur, country=India, district=Andhra Pradesh, population=471051}
