City{name=Jakarta, country=Indonesia, district=Jakarta Raya, population=9604900}
City{name=Surabaya, country=Indonesia, district=East Java, population=2663820}
City{name=Bandung, country=Indonesia, district=West Java, population=2429000}
City{name=Medan, country=Indonesia, district=Sumatera Utara, population=1843919}
City{name=Palembang, country=Indonesia, district=Sumatera Selatan, population=1222764}
City{name=Tangerang, country=Indonesia, district=West Java, population=1198300}
City{name=Semarang, country=Indonesia, district=Central Java, population=1104405}
City{name=Ujung Pandang, country=Indonesia, district=Sulawesi Selatan, population=1060257}
City{name=Malang, country=Indonesia, district=East Java, population=716862}
City{name=Bandar Lampung, country=Indonesia, district=Lampung, population=680332}
City{name=Bekasi, country=Indonesia, district=West Java, population=644300}
City{name=Padang, country=Indonesia, district=Sumatera Barat, population=534474}
City{name=Surakarta, country=Indonesia, district=Central Java, population=518600}
City{name=Banjarmasin, country=Indonesia, district=Kalimantan Selatan, population=482931}
City{name=Pekan Baru, country=Indonesia, district=Riau, population=438638}
City{name=Denpasar, country=Indonesia, district=Bali, population=435000}
City{name=Yogyakarta, country=Indonesia, district=Yogyakarta, population=418944}
City{name=Pontianak, country=Indonesia, district=Kalimantan Barat, population=409632}
City{name=Samarinda, country=Indonesia, district=Kalimantan Timur, population=399175}
City{name=Jambi, country=Indonesia, district=Jambi, population=385201}
City{name=Depok, country=Indonesia, district=West Java, population=365200}
City{name=Cimahi, country=Indonesia, district=West Java, population=344600}
City{name=Balikpapan, country=Indonesia, district=Kalimantan Timur, population=338752}
City{name=Manado, country=Indonesia, district=Sulawesi Utara, population=332288}
City{name=Mataram, country=Indonesia, district=Nusa Tenggara Barat, population=306600}
City{name=Pekalongan, country=Indonesia, district=Central Java, population=301504}
City{name=Tegal, country=Indonesia, district=Central Java, population=289744}
City{name=Bogor, country=Indonesia, district=West Java, population=285114}
City{name=Ciputat, country=Indonesia, district=West Java, population=270800}
City{name=Pondokgede, country=Indonesia, district=West Java, population=263200}
City{name=Cirebon, country=Indonesia, district=West Java, population=254406}
City{name=Kediri, country=Indonesia, district=East Java, population=253760}
City{name=Ambon, country=Indonesia, district=Molukit, population=249312}
City{name=Jember, country=Indonesia, district=East Java, population=218500}
City{name=Cilacap, country=Indonesia, district=Central Java, population=206900}
City{name=Cimanggis, country=Indonesia, district=West Java, population=205100}
City{name=Pematang Siantar, country=Indonesia, district=Sumatera Utara, population=203056}
City{name=Purwokerto, country=Indonesia, district=Central Java, population=202500}
City{name=Ciomas, country=Indonesia, district=West Java, population=187400}
City{name=Tasikmalaya, country=Indonesia, district=West Java, population=179800}
City{name=Madiun, country=Indonesia, district=East Java, population=171532}
City{name=Bengkulu, country=Indonesia, district=Bengkulu, population=146439}
City{name=Karawang, country=Indonesia, district=West Java, population=145000}
City{name=Banda Aceh, country=Indonesia, district=Aceh, population=143409}
City{name=Palu, country=Indonesia, district=Sulawesi Tengah, population=142800}
City{name=Pasuruan, country=Indonesia, district=East Java, population=134019}
City{name=Kupang, country=Indonesia, district=Nusa Tenggara Timur, population=129300}
City{name=Tebing Tinggi, country=Indonesia, district=Sumatera Utara, population=129300}
City{name=Percut Sei Tuan, country=Indonesia, district=Sumatera Utara, population=129000}
City{name=Binjai, country=Indonesia, district=Sumatera Utara, population=127222}
City{name=Sukabumi, country=Indonesia, district=West Java, population=125766}
City{name=Waru, country=Indonesia, district=East Java, population=124300}
City{name=Pangkal Pinang, country=Indonesia, district=Sumatera Selatan, population=124000}
City{name=Magelang, country=Indonesia, district=Central Java, population=123800}
City{name=Blitar, country=Indonesia, district=East Java, population=122600}
City{name=Serang, country=Indonesia, district=West Java, population=122400}
City{name=Probolinggo, country=Indonesia, district=East Java, population=120770}
City{name=Cilegon, country=Indonesia, district=West Java, population=117000}
City{name=Cianjur, country=Indonesia, district=West Java, population=114300}
City{name=Ciparay, country=Indonesia, district=West Java, population=111500}
City{name=Lhokseumawe, country=Indonesia, district=Aceh, population=109600}
City{name=Taman, country=Indonesia, district=East Java, population=107000}
City{name=Depok, country=Indonesia, district=Yogyakarta, population=106800}
City{name=Citeureup, country=Indonesia, district=West Java, population=105100}
City{name=Pemalang, country=Indonesia, district=Central Java, population=103500}
City{name=Klaten, country=Indonesia, district=Central Java, population=103300}
City{name=Salatiga, country=Indonesia, district=Central Java, population=103000}
City{name=Cibinong, country=Indonesia, district=West Java, population=101300}
City{name=Palangka Raya, country=Indonesia, district=Kalimantan Tengah, population=99693}
City{name=Mojokerto, country=Indonesia, district=East Java, population=96626}
City{name=Purwakarta, country=Indonesia, district=West Java, population=95900}
City{name=Garut, country=Indonesia, district=West Java, population=95800}
City{name=Kudus, country=Indonesia, district=Central Java, population=95300}
City{name=Kendari, country=Indonesia, district=Sulawesi Tenggara, population=94800}
City{name=Jaya Pura, country=Indonesia, district=West Irian, population=94700}
City{name=Gorontalo, country=Indonesia, district=Sulawesi Utara, population=94058}
City{name=Majalaya, country=Indonesia, district=West Java, population=93200}
City{name=Pondok Aren, country=Indonesia, district=West Java, population=92700}
City{name=Jombang, country=Indonesia, district=East Java, population=92600}
City{name=Sunggal, country=Indonesia, district=Sumatera Utara, population=92300}
City{name=Batam, country=Indonesia, district=Riau, population=91871}
City{name=Padang Sidempuan, country=Indonesia, district=Sumatera Utara, population=91200}
City{name=Sawangan, country=Indonesia, district=West Java, population=91100}
City{name=Banyuwangi, country=Indonesia, district=East Java, population=89900}
City{name=Tanjung Pinang, country=Indonesia, district=Riau, population=89900}
