City{name=Teheran, country=Iran, district=Teheran, population=6758845}
City{name=Mashhad, country=Iran, district=Khorasan, population=1887405}
City{name=Esfahan, country=Iran, district=Esfahan, population=1266072}
City{name=Tabriz, country=Iran, district=East Azerbaidzan, population=1191043}
City{name=Shiraz, country=Iran, district=Fars, population=1053025}
City{name=Karaj, country=Iran, district=Teheran, population=940968}
City{name=Ahvaz, country=Iran, district=Khuzestan, population=804980}
City{name=Qom, country=Iran, district=Qom, population=777677}
City{name=Kermanshah, country=Iran, district=Kermanshah, population=692986}
City{name=Urmia, country=Iran, district=West Azerbaidzan, population=435200}
City{name=Zahedan, country=Iran, district=Sistan va Baluchesta, population=419518}
City{name=Rasht, country=Iran, district=Gilan, population=417748}
City{name=Hamadan, country=Iran, district=Hamadan, population=401281}
City{name=Kerman, country=Iran, district=Kerman, population=384991}
City{name=Arak, country=Iran, district=Markazi, population=380755}
City{name=Ardebil, country=Iran, district=Ardebil, population=340386}
City{name=Yazd, country=Iran, district=Yazd, population=326776}
City{name=Qazvin, country=Iran, district=Qazvin, population=291117}
City{name=Zanjan, country=Iran, district=Zanjan, population=286295}
City{name=Sanandaj, country=Iran, district=Kordestan, population=277808}
City{name=Bandar-e-Abbas, country=Iran, district=Hormozgan, population=273578}
City{name=Khorramabad, country=Iran, district=Lorestan, population=272815}
City{name=Eslamshahr, country=Iran, district=Teheran, population=265450}
City{name=Borujerd, country=Iran, district=Lorestan, population=217804}
City{name=Abadan, country=Iran, district=Khuzestan, population=206073}
City{name=Dezful, country=Iran, district=Khuzestan, population=202639}
City{name=Kashan, country=Iran, district=Esfahan, population=201372}
City{name=Sari, country=Iran, district=Mazandaran, population=195882}
City{name=Gorgan, country=Iran, district=Golestan, population=188710}
City{name=Najafabad, country=Iran, district=Esfahan, population=178498}
City{name=Sabzevar, country=Iran, district=Khorasan, population=170738}
City{name=Khomeynishahr, country=Iran, district=Esfahan, population=165888}
City{name=Amol, country=Iran, district=Mazandaran, population=159092}
City{name=Neyshabur, country=Iran, district=Khorasan, population=158847}
City{name=Babol, country=Iran, district=Mazandaran, population=158346}
City{name=Khoy, country=Iran, district=West Azerbaidzan, population=148944}
City{name=Malayer, country=Iran, district=Hamadan, population=144373}
City{name=Bushehr, country=Iran, district=Bushehr, population=143641}
City{name=Qaemshahr, country=Iran, district=Mazandaran, population=143286}
City{name=Qarchak, country=Iran, district=Teheran, population=142690}
City{name=Qods, country=Iran, district=Teheran, population=138278}
City{name=Sirjan, country=Iran, district=Kerman, population=135024}
City{name=Bojnurd, country=Iran, district=Khorasan, population=134835}
City{name=Maragheh, country=Iran, district=East Azerbaidzan, population=132318}
City{name=Birjand, country=Iran, district=Khorasan, population=127608}
City{name=Ilam, country=Iran, district=Ilam, population=126346}
City{name=Bukan, country=Iran, district=West Azerbaidzan, population=120020}
City{name=Masjed-e-Soleyman, country=Iran, district=Khuzestan, population=116883}
City{name=Saqqez, country=Iran, district=Kordestan, population=115394}
City{name=Gonbad-e Qabus, country=Iran, district=Mazandaran, population=111253}
City{name=Saveh, country=Iran, district=Qom, population=111245}
City{name=Mahabad, country=Iran, district=West Azerbaidzan, population=107799}
City{name=Varamin, country=Iran, district=Teheran, population=107233}
City{name=Andimeshk, country=Iran, district=Khuzestan, population=106923}
City{name=Khorramshahr, country=Iran, district=Khuzestan, population=105636}
City{name=Shahrud, country=Iran, district=Semnan, population=104765}
City{name=Marv Dasht, country=Iran, district=Fars, population=103579}
City{name=Zabol, country=Iran, district=Sistan va Baluchesta, population=100887}
City{name=Shahr-e Kord, country=Iran, district=Chaharmahal va Bakht, population=100477}
City{name=Bandar-e Anzali, country=Iran, district=Gilan, population=98500}
City{name=Rafsanjan, country=Iran, district=Kerman, population=98300}
City{name=Marand, country=Iran, district=East Azerbaidzan, population=96400}
City{name=Torbat-e Heydariyeh, country=Iran, district=Khorasan, population=94600}
City{name=Jahrom, country=Iran, district=Fars, population=94200}
City{name=Semnan, country=Iran, district=Semnan, population=91045}
City{name=Miandoab, country=Iran, district=West Azerbaidzan, population=90100}
City{name=Qomsheh, country=Iran, district=Esfahan, population=89800}
