City{name=Baghdad, country=Iraq, district=Baghdad, population=4336000}
City{name=Mosul, country=Iraq, district=Ninawa, population=879000}
City{name=Irbil, country=Iraq, district=Irbil, population=485968}
City{name=Kirkuk, country=Iraq, district=al-Tamim, population=418624}
City{name=Basra, country=Iraq, district=Basra, population=406296}
City{name=al-Sulaymaniya, country=Iraq, district=al-Sulaymaniya, population=364096}
City{name=al-Najaf, country=Iraq, district=al-Najaf, population=309010}
City{name=Karbala, country=Iraq, district=Karbala, population=296705}
City{name=al-Hilla, country=Iraq, district=Babil, population=268834}
City{name=al-Nasiriya, country=Iraq, district=DhiQar, population=265937}
City{name=al-Amara, country=Iraq, district=Maysan, population=208797}
City{name=al-Diwaniya, country=Iraq, district=al-Qadisiya, population=196519}
City{name=al-Ramadi, country=Iraq, district=al-Anbar, population=192556}
City{name=al-Kut, country=Iraq, district=Wasit, population=183183}
City{name=Baquba, country=Iraq, district=Diyala, population=114516}
