City{name=Jerusalem, country=Israel, district=Jerusalem, population=633700}
City{name=Tel Aviv-Jaffa, country=Israel, district=Tel Aviv, population=348100}
City{name=Haifa, country=Israel, district=Haifa, population=265700}
City{name=Rishon Le Ziyyon, country=Israel, district=Ha Merkaz, population=188200}
City{name=Beerseba, country=Israel, district=Ha Darom, population=163700}
City{name=Holon, country=Israel, district=Tel Aviv, population=163100}
City{name=Petah Tiqwa, country=Israel, district=Ha Merkaz, population=159400}
City{name=Ashdod, country=Israel, district=Ha Darom, population=155800}
City{name=Netanya, country=Israel, district=Ha Merkaz, population=154900}
City{name=Bat Yam, country=Israel, district=Tel Aviv, population=137000}
City{name=Bene Beraq, country=Israel, district=Tel Aviv, population=133900}
City{name=Ramat Gan, country=Israel, district=Tel Aviv, population=126900}
City{name=Ashqelon, country=Israel, district=Ha Darom, population=92300}
City{name=Rehovot, country=Israel, district=Ha Merkaz, population=90300}
