City{name=Roma, country=Italy, district=Latium, population=2643581}
City{name=Milano, country=Italy, district=Lombardia, population=1300977}
City{name=Napoli, country=Italy, district=Campania, population=1002619}
City{name=Torino, country=Italy, district=Piemonte, population=903705}
City{name=Palermo, country=Italy, district=Sisilia, population=683794}
City{name=Genova, country=Italy, district=Liguria, population=636104}
City{name=Bologna, country=Italy, district=Emilia-Romagna, population=381161}
City{name=Firenze, country=Italy, district=Toscana, population=376662}
City{name=Catania, country=Italy, district=Sisilia, population=337862}
City{name=Bari, country=Italy, district=Apulia, population=331848}
City{name=Venezia, country=Italy, district=Veneto, population=277305}
City{name=Messina, country=Italy, district=Sisilia, population=259156}
City{name=Verona, country=Italy, district=Veneto, population=255268}
City{name=Trieste, country=Italy, district=Friuli-Venezia Giuli, population=216459}
City{name=Padova, country=Italy, district=Veneto, population=211391}
City{name=Taranto, country=Italy, district=Apulia, population=208214}
City{name=Brescia, country=Italy, district=Lombardia, population=191317}
City{name=Reggio di Calabria, country=Italy, district=Calabria, population=179617}
City{name=Modena, country=Italy, district=Emilia-Romagna, population=176022}
City{name=Prato, country=Italy, district=Toscana, population=172473}
City{name=Parma, country=Italy, district=Emilia-Romagna, population=168717}
City{name=Cagliari, country=Italy, district=Sardinia, population=165926}
City{name=Livorno, country=Italy, district=Toscana, population=161673}
City{name=Perugia, country=Italy, district=Umbria, population=156673}
City{name=Foggia, country=Italy, district=Apulia, population=154891}
City{name=Reggio nell´ Emilia, country=Italy, district=Emilia-Romagna, population=143664}
City{name=Salerno, country=Italy, district=Campania, population=142055}
City{name=Ravenna, country=Italy, district=Emilia-Romagna, population=138418}
City{name=Ferrara, country=Italy, district=Emilia-Romagna, population=132127}
City{name=Rimini, country=Italy, district=Emilia-Romagna, population=131062}
City{name=Syrakusa, country=Italy, district=Sisilia, population=126282}
City{name=Sassari, country=Italy, district=Sardinia, population=120803}
City{name=Monza, country=Italy, district=Lombardia, population=119516}
City{name=Bergamo, country=Italy, district=Lombardia, population=117837}
City{name=Pescara, country=Italy, district=Abruzzit, population=115698}
City{name=Latina, country=Italy, district=Latium, population=114099}
City{name=Vicenza, country=Italy, district=Veneto, population=109738}
City{name=Terni, country=Italy, district=Umbria, population=107770}
City{name=Forlì, country=Italy, district=Emilia-Romagna, population=107475}
City{name=Trento, country=Italy, district=Trentino-Alto Adige, population=104906}
City{name=Novara, country=Italy, district=Piemonte, population=102037}
City{name=Piacenza, country=Italy, district=Emilia-Romagna, population=98384}
City{name=Ancona, country=Italy, district=Marche, population=98329}
City{name=Lecce, country=Italy, district=Apulia, population=98208}
City{name=Bolzano, country=Italy, district=Trentino-Alto Adige, population=97232}
City{name=Catanzaro, country=Italy, district=Calabria, population=96700}
City{name=La Spezia, country=Italy, district=Liguria, population=95504}
City{name=Udine, country=Italy, district=Friuli-Venezia Giuli, population=94932}
City{name=Torre del Greco, country=Italy, district=Campania, population=94505}
City{name=Andria, country=Italy, district=Apulia, population=94443}
City{name=Brindisi, country=Italy, district=Apulia, population=93454}
City{name=Giugliano in Campania, country=Italy, district=Campania, population=93286}
City{name=Pisa, country=Italy, district=Toscana, population=92379}
City{name=Barletta, country=Italy, district=Apulia, population=91904}
City{name=Arezzo, country=Italy, district=Toscana, population=91729}
City{name=Alessandria, country=Italy, district=Piemonte, population=90289}
City{name=Cesena, country=Italy, district=Emilia-Romagna, population=89852}
City{name=Pesaro, country=Italy, district=Marche, population=88987}
