City{name=Tokyo, country=Japan, district=Tokyo-to, population=7980230}
City{name=Jokohama [Yokohama], country=Japan, district=Kanagawa, population=3339594}
City{name=Osaka, country=Japan, district=Osaka, population=2595674}
City{name=Nagoya, country=Japan, district=Aichi, population=2154376}
City{name=Sapporo, country=Japan, district=Hokkaido, population=1790886}
City{name=Kioto, country=Japan, district=Kyoto, population=1461974}
City{name=Kobe, country=Japan, district=Hyogo, population=1425139}
City{name=Fukuoka, country=Japan, district=Fukuoka, population=1308379}
City{name=Kawasaki, country=Japan, district=Kanagawa, population=1217359}
City{name=Hiroshima, country=Japan, district=Hiroshima, population=1119117}
City{name=Kitakyushu, country=Japan, district=Fukuoka, population=1016264}
City{name=Sendai, country=Japan, district=Miyagi, population=989975}
City{name=Chiba, country=Japan, district=Chiba, population=863930}
City{name=Sakai, country=Japan, district=Osaka, population=797735}
City{name=Kumamoto, country=Japan, district=Kumamoto, population=656734}
City{name=Okayama, country=Japan, district=Okayama, population=624269}
City{name=Sagamihara, country=Japan, district=Kanagawa, population=586300}
City{name=Hamamatsu, country=Japan, district=Shizuoka, population=568796}
City{name=Kagoshima, country=Japan, district=Kagoshima, population=549977}
City{name=Funabashi, country=Japan, district=Chiba, population=545299}
City{name=Higashiosaka, country=Japan, district=Osaka, population=517785}
City{name=Hachioji, country=Japan, district=Tokyo-to, population=513451}
City{name=Niigata, country=Japan, district=Niigata, population=497464}
City{name=Amagasaki, country=Japan, district=Hyogo, population=481434}
City{name=Himeji, country=Japan, district=Hyogo, population=475167}
City{name=Shizuoka, country=Japan, district=Shizuoka, population=473854}
City{name=Urawa, country=Japan, district=Saitama, population=469675}
City{name=Matsuyama, country=Japan, district=Ehime, population=466133}
City{name=Matsudo, country=Japan, district=Chiba, population=461126}
City{name=Kanazawa, country=Japan, district=Ishikawa, population=455386}
City{name=Kawaguchi, country=Japan, district=Saitama, population=452155}
City{name=Ichikawa, country=Japan, district=Chiba, population=441893}
City{name=Omiya, country=Japan, district=Saitama, population=441649}
City{name=Utsunomiya, country=Japan, district=Tochigi, population=440353}
City{name=Oita, country=Japan, district=Oita, population=433401}
