City{name=Almaty, country=Kazakstan, district=Almaty Qalasy, population=1129400}
City{name=Qaraghandy, country=Kazakstan, district=Qaraghandy, population=436900}
City{name=Shymkent, country=Kazakstan, district=South Kazakstan, population=360100}
City{name=Taraz, country=Kazakstan, district=Taraz, population=330100}
City{name=Astana, country=Kazakstan, district=Astana, population=311200}
City{name=Öskemen, country=Kazakstan, district=East Kazakstan, population=311000}
City{name=Pavlodar, country=Kazakstan, district=Pavlodar, population=300500}
City{name=Semey, country=Kazakstan, district=East Kazakstan, population=269600}
City{name=Aqtöbe, country=Kazakstan, district=Aqtöbe, population=253100}
City{name=Qostanay, country=Kazakstan, district=Qostanay, population=221400}
City{name=Petropavl, country=Kazakstan, district=North Kazakstan, population=203500}
City{name=Oral, country=Kazakstan, district=West Kazakstan, population=195500}
City{name=Temirtau, country=Kazakstan, district=Qaraghandy, population=170500}
City{name=Qyzylorda, country=Kazakstan, district=Qyzylorda, population=157400}
City{name=Aqtau, country=Kazakstan, district=Mangghystau, population=143400}
City{name=Atyrau, country=Kazakstan, district=Atyrau, population=142500}
City{name=Ekibastuz, country=Kazakstan, district=Pavlodar, population=127200}
City{name=Kökshetau, country=Kazakstan, district=North Kazakstan, population=123400}
City{name=Rudnyy, country=Kazakstan, district=Qostanay, population=109500}
City{name=Taldyqorghan, country=Kazakstan, district=Almaty, population=98000}
City{name=Zhezqazghan, country=Kazakstan, district=Qaraghandy, population=90000}
