City{name=Kuala Lumpur, country=Malaysia, district=Wilayah Persekutuan, population=1297526}
City{name=Ipoh, country=Malaysia, district=Perak, population=382853}
City{name=Johor Baharu, country=Malaysia, district=Johor, population=328436}
City{name=Petaling Jaya, country=Malaysia, district=Selangor, population=254350}
City{name=Kelang, country=Malaysia, district=Selangor, population=243355}
City{name=Kuala Terengganu, country=Malaysia, district=Terengganu, population=228119}
City{name=Pinang, country=Malaysia, district=Pulau Pinang, population=219603}
City{name=Kota Bharu, country=Malaysia, district=Kelantan, population=219582}
City{name=Kuantan, country=Malaysia, district=Pahang, population=199484}
City{name=Taiping, country=Malaysia, district=Perak, population=183261}
City{name=Seremban, country=Malaysia, district=Negeri Sembilan, population=182869}
City{name=Kuching, country=Malaysia, district=Sarawak, population=148059}
City{name=Sibu, country=Malaysia, district=Sarawak, population=126381}
City{name=Sandakan, country=Malaysia, district=Sabah, population=125841}
City{name=Alor Setar, country=Malaysia, district=Kedah, population=124412}
City{name=Selayang Baru, country=Malaysia, district=Selangor, population=124228}
City{name=Sungai Petani, country=Malaysia, district=Kedah, population=114763}
City{name=Shah Alam, country=Malaysia, district=Selangor, population=102019}
