City{name=Ciudad de México, country=Mexico, district=Distrito Federal, population=8591309}
City{name=Guadalajara, country=Mexico, district=Jalisco, population=1647720}
City{name=Ecatepec de Morelos, country=Mexico, district=México, population=1620303}
City{name=Puebla, country=Mexico, district=Puebla, population=1346176}
City{name=Nezahualcóyotl, country=Mexico, district=México, population=1224924}
City{name=Juárez, country=Mexico, district=Chihuahua, population=1217818}
City{name=Tijuana, country=Mexico, district=Baja California, population=1212232}
City{name=León, country=Mexico, district=Guanajuato, population=1133576}
City{name=Monterrey, country=Mexico, district=Nuevo León, population=1108499}
City{name=Zapopan, country=Mexico, district=Jalisco, population=1002239}
City{name=Naucalpan de Juárez, country=Mexico, district=México, population=857511}
City{name=Mexicali, country=Mexico, district=Baja California, population=764902}
City{name=Culiacán, country=Mexico, district=Sinaloa, population=744859}
City{name=Acapulco de Juárez, country=Mexico, district=Guerrero, population=721011}
City{name=Tlalnepantla de Baz, country=Mexico, district=México, population=720755}
City{name=Mérida, country=Mexico, district=Yucatán, population=703324}
City{name=Chihuahua, country=Mexico, district=Chihuahua, population=670208}
City{name=San Luis Potosí, country=Mexico, district=San Luis Potosí, population=669353}
City{name=Guadalupe, country=Mexico, district=Nuevo León, population=668780}
City{name=Toluca, country=Mexico, district=México, population=665617}
City{name=Aguascalientes, country=Mexico, district=Aguascalientes, population=643360}
City{name=Querétaro, country=Mexico, district=Querétaro de Arteaga, population=639839}
City{name=Morelia, country=Mexico, district=Michoacán de Ocampo, population=619958}
City{name=Hermosillo, country=Mexico, district=Sonora, population=608697}
City{name=Saltillo, country=Mexico, district=Coahuila de Zaragoza, population=577352}
City{name=Torreón, country=Mexico, district=Coahuila de Zaragoza, population=529093}
City{name=Centro (Villahermosa), country=Mexico, district=Tabasco, population=519873}
City{name=San Nicolás de los Garza, country=Mexico, district=Nuevo León, population=495540}
City{name=Durango, country=Mexico, district=Durango, population=490524}
City{name=Chimalhuacán, country=Mexico, district=México, population=490245}
City{name=Tlaquepaque, country=Mexico, district=Jalisco, population=475472}
City{name=Atizapán de Zaragoza, country=Mexico, district=México, population=467262}
City{name=Veracruz, country=Mexico, district=Veracruz, population=457119}
City{name=Cuautitlán Izcalli, country=Mexico, district=México, population=452976}
City{name=Irapuato, country=Mexico, district=Guanajuato, population=440039}
City{name=Tuxtla Gutiérrez, country=Mexico, district=Chiapas, population=433544}
City{name=Tultitlán, country=Mexico, district=México, population=432411}
City{name=Reynosa, country=Mexico, district=Tamaulipas, population=419776}
City{name=Benito Juárez, country=Mexico, district=Quintana Roo, population=419276}
City{name=Matamoros, country=Mexico, district=Tamaulipas, population=416428}
City{name=Xalapa, country=Mexico, district=Veracruz, population=390058}
City{name=Celaya, country=Mexico, district=Guanajuato, population=382140}
City{name=Mazatlán, country=Mexico, district=Sinaloa, population=380265}
City{name=Ensenada, country=Mexico, district=Baja California, population=369573}
City{name=Ahome, country=Mexico, district=Sinaloa, population=358663}
City{name=Cajeme, country=Mexico, district=Sonora, population=355679}
City{name=Cuernavaca, country=Mexico, district=Morelos, population=337966}
City{name=Tonalá, country=Mexico, district=Jalisco, population=336109}
City{name=Valle de Chalco Solidaridad, country=Mexico, district=México, population=323113}
City{name=Nuevo Laredo, country=Mexico, district=Tamaulipas, population=310277}
City{name=Tepic, country=Mexico, district=Nayarit, population=305025}
City{name=Tampico, country=Mexico, district=Tamaulipas, population=294789}
City{name=Ixtapaluca, country=Mexico, district=México, population=293160}
City{name=Apodaca, country=Mexico, district=Nuevo León, population=282941}
City{name=Guasave, country=Mexico, district=Sinaloa, population=277201}
City{name=Gómez Palacio, country=Mexico, district=Durango, population=272806}
City{name=Tapachula, country=Mexico, district=Chiapas, population=271141}
City{name=Nicolás Romero, country=Mexico, district=México, population=269393}
City{name=Coatzacoalcos, country=Mexico, district=Veracruz, population=267037}
City{name=Uruapan, country=Mexico, district=Michoacán de Ocampo, population=265211}
City{name=Victoria, country=Mexico, district=Tamaulipas, population=262686}
City{name=Oaxaca de Juárez, country=Mexico, district=Oaxaca, population=256848}
City{name=Coacalco de Berriozábal, country=Mexico, district=México, population=252270}
City{name=Pachuca de Soto, country=Mexico, district=Hidalgo, population=244688}
City{name=General Escobedo, country=Mexico, district=Nuevo León, population=232961}
City{name=Salamanca, country=Mexico, district=Guanajuato, population=226864}
City{name=Santa Catarina, country=Mexico, district=Nuevo León, population=226573}
City{name=Tehuacán, country=Mexico, district=Puebla, population=225943}
City{name=Chalco, country=Mexico, district=México, population=222201}
City{name=Cárdenas, country=Mexico, district=Tabasco, population=216903}
City{name=Campeche, country=Mexico, district=Campeche, population=216735}
City{name=La Paz, country=Mexico, district=México, population=213045}
City{name=Othón P. Blanco (Chetumal), country=Mexico, district=Quintana Roo, population=208014}
City{name=Texcoco, country=Mexico, district=México, population=203681}
City{name=La Paz, country=Mexico, district=Baja California Sur, population=196708}
City{name=Metepec, country=Mexico, district=México, population=194265}
City{name=Monclova, country=Mexico, district=Coahuila de Zaragoza, population=193657}
City{name=Huixquilucan, country=Mexico, district=México, population=193156}
City{name=Chilpancingo de los Bravo, country=Mexico, district=Guerrero, population=192509}
City{name=Puerto Vallarta, country=Mexico, district=Jalisco, population=183741}
City{name=Fresnillo, country=Mexico, district=Zacatecas, population=182744}
City{name=Ciudad Madero, country=Mexico, district=Tamaulipas, population=182012}
City{name=Soledad de Graciano Sánchez, country=Mexico, district=San Luis Potosí, population=179956}
City{name=San Juan del Río, country=Mexico, district=Querétaro, population=179300}
City{name=San Felipe del Progreso, country=Mexico, district=México, population=177330}
City{name=Córdoba, country=Mexico, district=Veracruz, population=176952}
City{name=Tecámac, country=Mexico, district=México, population=172410}
City{name=Ocosingo, country=Mexico, district=Chiapas, population=171495}
City{name=Carmen, country=Mexico, district=Campeche, population=171367}
City{name=Lázaro Cárdenas, country=Mexico, district=Michoacán de Ocampo, population=170878}
City{name=Jiutepec, country=Mexico, district=Morelos, population=170428}
City{name=Papantla, country=Mexico, district=Veracruz, population=170123}
City{name=Comalcalco, country=Mexico, district=Tabasco, population=164640}
City{name=Zamora, country=Mexico, district=Michoacán de Ocampo, population=161191}
City{name=Nogales, country=Mexico, district=Sonora, population=159103}
City{name=Huimanguillo, country=Mexico, district=Tabasco, population=158335}
City{name=Cuautla, country=Mexico, district=Morelos, population=153132}
City{name=Minatitlán, country=Mexico, district=Veracruz, population=152983}
City{name=Poza Rica de Hidalgo, country=Mexico, district=Veracruz, population=152678}
City{name=Ciudad Valles, country=Mexico, district=San Luis Potosí, population=146411}
City{name=Navolato, country=Mexico, district=Sinaloa, population=145396}
City{name=San Luis Río Colorado, country=Mexico, district=Sonora, population=145276}
City{name=Pénjamo, country=Mexico, district=Guanajuato, population=143927}
City{name=San Andrés Tuxtla, country=Mexico, district=Veracruz, population=142251}
City{name=Guanajuato, country=Mexico, district=Guanajuato, population=141215}
City{name=Navojoa, country=Mexico, district=Sonora, population=140495}
City{name=Zitácuaro, country=Mexico, district=Michoacán de Ocampo, population=137970}
City{name=Boca del Río, country=Mexico, district=Veracruz-Llave, population=135721}
City{name=Allende, country=Mexico, district=Guanajuato, population=134645}
City{name=Silao, country=Mexico, district=Guanajuato, population=134037}
City{name=Macuspana, country=Mexico, district=Tabasco, population=133795}
City{name=San Juan Bautista Tuxtepec, country=Mexico, district=Oaxaca, population=133675}
City{name=San Cristóbal de las Casas, country=Mexico, district=Chiapas, population=132317}
City{name=Valle de Santiago, country=Mexico, district=Guanajuato, population=130557}
City{name=Guaymas, country=Mexico, district=Sonora, population=130108}
City{name=Colima, country=Mexico, district=Colima, population=129454}
City{name=Dolores Hidalgo, country=Mexico, district=Guanajuato, population=128675}
City{name=Lagos de Moreno, country=Mexico, district=Jalisco, population=127949}
