City{name=Maputo, country=Mozambique, district=Maputo, population=1018938}
City{name=Matola, country=Mozambique, district=Maputo, population=424662}
City{name=Beira, country=Mozambique, district=Sofala, population=397368}
City{name=Nampula, country=Mozambique, district=Nampula, population=303346}
City{name=Chimoio, country=Mozambique, district=Manica, population=171056}
City{name=Naçala-Porto, country=Mozambique, district=Nampula, population=158248}
City{name=Quelimane, country=Mozambique, district=Zambézia, population=150116}
City{name=Mocuba, country=Mozambique, district=Zambézia, population=124700}
City{name=Tete, country=Mozambique, district=Tete, population=101984}
City{name=Xai-Xai, country=Mozambique, district=Gaza, population=99442}
City{name=Gurue, country=Mozambique, district=Zambézia, population=99300}
City{name=Maxixe, country=Mozambique, district=Inhambane, population=93985}
