City{name=Amsterdam, country=Netherlands, district=Noord-Holland, population=731200}
City{name=Rotterdam, country=Netherlands, district=Zuid-Holland, population=593321}
City{name=Haag, country=Netherlands, district=Zuid-Holland, population=440900}
City{name=Utrecht, country=Netherlands, district=Utrecht, population=234323}
City{name=Eindhoven, country=Netherlands, district=Noord-Brabant, population=201843}
City{name=Tilburg, country=Netherlands, district=Noord-Brabant, population=193238}
City{name=Groningen, country=Netherlands, district=Groningen, population=172701}
City{name=Breda, country=Netherlands, district=Noord-Brabant, population=160398}
City{name=Apeldoorn, country=Netherlands, district=Gelderland, population=153491}
City{name=Nijmegen, country=Netherlands, district=Gelderland, population=152463}
City{name=Enschede, country=Netherlands, district=Overijssel, population=149544}
City{name=Haarlem, country=Netherlands, district=Noord-Holland, population=148772}
City{name=Almere, country=Netherlands, district=Flevoland, population=142465}
City{name=Arnhem, country=Netherlands, district=Gelderland, population=138020}
City{name=Zaanstad, country=Netherlands, district=Noord-Holland, population=135621}
City{name=´s-Hertogenbosch, country=Netherlands, district=Noord-Brabant, population=129170}
City{name=Amersfoort, country=Netherlands, district=Utrecht, population=126270}
City{name=Maastricht, country=Netherlands, district=Limburg, population=122087}
City{name=Dordrecht, country=Netherlands, district=Zuid-Holland, population=119811}
City{name=Leiden, country=Netherlands, district=Zuid-Holland, population=117196}
City{name=Haarlemmermeer, country=Netherlands, district=Noord-Holland, population=110722}
City{name=Zoetermeer, country=Netherlands, district=Zuid-Holland, population=110214}
City{name=Emmen, country=Netherlands, district=Drenthe, population=105853}
City{name=Zwolle, country=Netherlands, district=Overijssel, population=105819}
City{name=Ede, country=Netherlands, district=Gelderland, population=101574}
City{name=Delft, country=Netherlands, district=Zuid-Holland, population=95268}
City{name=Heerlen, country=Netherlands, district=Limburg, population=95052}
City{name=Alkmaar, country=Netherlands, district=Noord-Holland, population=92713}
