City{name=Pyongyang, country=North Korea, district=Pyongyang-si, population=2484000}
City{name=Hamhung, country=North Korea, district=Hamgyong N, population=709730}
City{name=Chongjin, country=North Korea, district=Hamgyong P, population=582480}
City{name=Nampo, country=North Korea, district=Nampo-si, population=566200}
City{name=Sinuiju, country=North Korea, district=Pyongan P, population=326011}
City{name=Wonsan, country=North Korea, district=Kangwon, population=300148}
City{name=Phyongsong, country=North Korea, district=Pyongan N, population=272934}
City{name=Sariwon, country=North Korea, district=Hwanghae P, population=254146}
City{name=Haeju, country=North Korea, district=Hwanghae N, population=229172}
City{name=Kanggye, country=North Korea, district=Chagang, population=223410}
City{name=Kimchaek, country=North Korea, district=Hamgyong P, population=179000}
City{name=Hyesan, country=North Korea, district=Yanggang, population=178020}
City{name=Kaesong, country=North Korea, district=Kaesong-si, population=171500}
