City{name=Lima, country=Peru, district=Lima, population=6464693}
City{name=Arequipa, country=Peru, district=Arequipa, population=762000}
City{name=Trujillo, country=Peru, district=La Libertad, population=652000}
City{name=Chiclayo, country=Peru, district=Lambayeque, population=517000}
City{name=Callao, country=Peru, district=Callao, population=424294}
City{name=Iquitos, country=Peru, district=Loreto, population=367000}
City{name=Chimbote, country=Peru, district=Ancash, population=336000}
City{name=Huancayo, country=Peru, district=Junín, population=327000}
City{name=Piura, country=Peru, district=Piura, population=325000}
City{name=Cusco, country=Peru, district=Cusco, population=291000}
City{name=Pucallpa, country=Peru, district=Ucayali, population=220866}
City{name=Tacna, country=Peru, district=Tacna, population=215683}
City{name=Ica, country=Peru, district=Ica, population=194820}
City{name=Sullana, country=Peru, district=Piura, population=147361}
City{name=Juliaca, country=Peru, district=Puno, population=142576}
City{name=Huánuco, country=Peru, district=Huanuco, population=129688}
City{name=Ayacucho, country=Peru, district=Ayacucho, population=118960}
City{name=Chincha Alta, country=Peru, district=Ica, population=110016}
City{name=Cajamarca, country=Peru, district=Cajamarca, population=108009}
City{name=Puno, country=Peru, district=Puno, population=101578}
City{name=Ventanilla, country=Peru, district=Callao, population=101056}
City{name=Castilla, country=Peru, district=Piura, population=90642}
