City{name=Bucuresti, country=Romania, district=Bukarest, population=2016131}
City{name=Iasi, country=Romania, district=Iasi, population=348070}
City{name=Constanta, country=Romania, district=Constanta, population=342264}
City{name=Cluj-Napoca, country=Romania, district=Cluj, population=332498}
City{name=Galati, country=Romania, district=Galati, population=330276}
City{name=Timisoara, country=Romania, district=Timis, population=324304}
City{name=Brasov, country=Romania, district=Brasov, population=314225}
City{name=Craiova, country=Romania, district=Dolj, population=313530}
City{name=Ploiesti, country=Romania, district=Prahova, population=251348}
City{name=Braila, country=Romania, district=Braila, population=233756}
City{name=Oradea, country=Romania, district=Bihor, population=222239}
City{name=Bacau, country=Romania, district=Bacau, population=209235}
City{name=Pitesti, country=Romania, district=Arges, population=187170}
City{name=Arad, country=Romania, district=Arad, population=184408}
City{name=Sibiu, country=Romania, district=Sibiu, population=169611}
City{name=Târgu Mures, country=Romania, district=Mures, population=165153}
City{name=Baia Mare, country=Romania, district=Maramures, population=149665}
City{name=Buzau, country=Romania, district=Buzau, population=148372}
City{name=Satu Mare, country=Romania, district=Satu Mare, population=130059}
City{name=Botosani, country=Romania, district=Botosani, population=128730}
City{name=Piatra Neamt, country=Romania, district=Neamt, population=125070}
City{name=Râmnicu Vâlcea, country=Romania, district=Vâlcea, population=119741}
City{name=Suceava, country=Romania, district=Suceava, population=118549}
City{name=Drobeta-Turnu Severin, country=Romania, district=Mehedinti, population=117865}
City{name=Târgoviste, country=Romania, district=Dâmbovita, population=98980}
City{name=Focsani, country=Romania, district=Vrancea, population=98979}
City{name=Târgu Jiu, country=Romania, district=Gorj, population=98524}
City{name=Tulcea, country=Romania, district=Tulcea, population=96278}
City{name=Resita, country=Romania, district=Caras-Severin, population=93976}
