City{name=Moscow, country=Russian Federation, district=Moscow (City), population=8389200}
City{name=St Petersburg, country=Russian Federation, district=Pietari, population=4694000}
City{name=Novosibirsk, country=Russian Federation, district=Novosibirsk, population=1398800}
City{name=Nizni Novgorod, country=Russian Federation, district=Nizni Novgorod, population=1357000}
City{name=Jekaterinburg, country=Russian Federation, district=Sverdlovsk, population=1266300}
City{name=Samara, country=Russian Federation, district=Samara, population=1156100}
City{name=Omsk, country=Russian Federation, district=Omsk, population=1148900}
City{name=Kazan, country=Russian Federation, district=Tatarstan, population=1101000}
City{name=Ufa, country=Russian Federation, district=Baškortostan, population=1091200}
City{name=Tšeljabinsk, country=Russian Federation, district=Tšeljabinsk, population=1083200}
City{name=Rostov-na-Donu, country=Russian Federation, district=Rostov-na-Donu, population=1012700}
City{name=Perm, country=Russian Federation, district=Perm, population=1009700}
City{name=Volgograd, country=Russian Federation, district=Volgograd, population=993400}
City{name=Voronez, country=Russian Federation, district=Voronez, population=907700}
City{name=Krasnojarsk, country=Russian Federation, district=Krasnojarsk, population=875500}
City{name=Saratov, country=Russian Federation, district=Saratov, population=874000}
City{name=Toljatti, country=Russian Federation, district=Samara, population=722900}
City{name=Uljanovsk, country=Russian Federation, district=Uljanovsk, population=667400}
City{name=Izevsk, country=Russian Federation, district=Udmurtia, population=652800}
City{name=Krasnodar, country=Russian Federation, district=Krasnodar, population=639000}
City{name=Jaroslavl, country=Russian Federation, district=Jaroslavl, population=616700}
City{name=Habarovsk, country=Russian Federation, district=Habarovsk, population=609400}
City{name=Vladivostok, country=Russian Federation, district=Primorje, population=606200}
City{name=Irkutsk, country=Russian Federation, district=Irkutsk, population=593700}
City{name=Barnaul, country=Russian Federation, district=Altai, population=580100}
City{name=Novokuznetsk, country=Russian Federation, district=Kemerovo, population=561600}
City{name=Penza, country=Russian Federation, district=Penza, population=532200}
City{name=Rjazan, country=Russian Federation, district=Rjazan, population=529900}
City{name=Orenburg, country=Russian Federation, district=Orenburg, population=523600}
City{name=Lipetsk, country=Russian Federation, district=Lipetsk, population=521000}
City{name=Nabereznyje Tšelny, country=Russian Federation, district=Tatarstan, population=514700}
City{name=Tula, country=Russian Federation, district=Tula, population=506100}
City{name=Tjumen, country=Russian Federation, district=Tjumen, population=503400}
City{name=Kemerovo, country=Russian Federation, district=Kemerovo, population=492700}
City{name=Astrahan, country=Russian Federation, district=Astrahan, population=486100}
City{name=Tomsk, country=Russian Federation, district=Tomsk, population=482100}
City{name=Kirov, country=Russian Federation, district=Kirov, population=466200}
City{name=Ivanovo, country=Russian Federation, district=Ivanovo, population=459200}
City{name=Tšeboksary, country=Russian Federation, district=Tšuvassia, population=459200}
City{name=Brjansk, country=Russian Federation, district=Brjansk, population=457400}
City{name=Tver, country=Russian Federation, district=Tver, population=454900}
City{name=Kursk, country=Russian Federation, district=Kursk, population=443500}
City{name=Magnitogorsk, country=Russian Federation, district=Tšeljabinsk, population=427900}
City{name=Kaliningrad, country=Russian Federation, district=Kaliningrad, population=424400}
City{name=Nizni Tagil, country=Russian Federation, district=Sverdlovsk, population=390900}
City{name=Murmansk, country=Russian Federation, district=Murmansk, population=376300}
City{name=Ulan-Ude, country=Russian Federation, district=Burjatia, population=370400}
City{name=Kurgan, country=Russian Federation, district=Kurgan, population=364700}
City{name=Arkangeli, country=Russian Federation, district=Arkangeli, population=361800}
City{name=Sotši, country=Russian Federation, district=Krasnodar, population=358600}
City{name=Smolensk, country=Russian Federation, district=Smolensk, population=353400}
City{name=Orjol, country=Russian Federation, district=Orjol, population=344500}
City{name=Stavropol, country=Russian Federation, district=Stavropol, population=343300}
City{name=Belgorod, country=Russian Federation, district=Belgorod, population=342000}
City{name=Kaluga, country=Russian Federation, district=Kaluga, population=339300}
City{name=Vladimir, country=Russian Federation, district=Vladimir, population=337100}
City{name=Mahatškala, country=Russian Federation, district=Dagestan, population=332800}
City{name=Tšerepovets, country=Russian Federation, district=Vologda, population=324400}
City{name=Saransk, country=Russian Federation, district=Mordva, population=314800}
City{name=Tambov, country=Russian Federation, district=Tambov, population=312000}
City{name=Vladikavkaz, country=Russian Federation, district=North Ossetia-Alania, population=310100}
City{name=Tšita, country=Russian Federation, district=Tšita, population=309900}
City{name=Vologda, country=Russian Federation, district=Vologda, population=302500}
City{name=Veliki Novgorod, country=Russian Federation, district=Novgorod, population=299500}
City{name=Komsomolsk-na-Amure, country=Russian Federation, district=Habarovsk, population=291600}
City{name=Kostroma, country=Russian Federation, district=Kostroma, population=288100}
City{name=Volzski, country=Russian Federation, district=Volgograd, population=286900}
City{name=Taganrog, country=Russian Federation, district=Rostov-na-Donu, population=284400}
City{name=Petroskoi, country=Russian Federation, district=Karjala, population=282100}
City{name=Bratsk, country=Russian Federation, district=Irkutsk, population=277600}
City{name=Dzerzinsk, country=Russian Federation, district=Nizni Novgorod, population=277100}
City{name=Surgut, country=Russian Federation, district=Hanti-Mansia, population=274900}
City{name=Orsk, country=Russian Federation, district=Orenburg, population=273900}
City{name=Sterlitamak, country=Russian Federation, district=Baškortostan, population=265200}
City{name=Angarsk, country=Russian Federation, district=Irkutsk, population=264700}
City{name=Joškar-Ola, country=Russian Federation, district=Marinmaa, population=249200}
City{name=Rybinsk, country=Russian Federation, district=Jaroslavl, population=239600}
City{name=Prokopjevsk, country=Russian Federation, district=Kemerovo, population=237300}
City{name=Niznevartovsk, country=Russian Federation, district=Hanti-Mansia, population=233900}
City{name=Naltšik, country=Russian Federation, district=Kabardi-Balkaria, population=233400}
City{name=Syktyvkar, country=Russian Federation, district=Komi, population=229700}
City{name=Severodvinsk, country=Russian Federation, district=Arkangeli, population=229300}
City{name=Bijsk, country=Russian Federation, district=Altai, population=225000}
City{name=Niznekamsk, country=Russian Federation, district=Tatarstan, population=223400}
City{name=Blagoveštšensk, country=Russian Federation, district=Amur, population=222000}
City{name=Šahty, country=Russian Federation, district=Rostov-na-Donu, population=221800}
City{name=Staryi Oskol, country=Russian Federation, district=Belgorod, population=213800}
City{name=Zelenograd, country=Russian Federation, district=Moscow (City), population=207100}
City{name=Balakovo, country=Russian Federation, district=Saratov, population=206000}
City{name=Novorossijsk, country=Russian Federation, district=Krasnodar, population=203300}
City{name=Pihkova, country=Russian Federation, district=Pihkova, population=201500}
City{name=Zlatoust, country=Russian Federation, district=Tšeljabinsk, population=196900}
City{name=Jakutsk, country=Russian Federation, district=Saha (Jakutia), population=195400}
City{name=Podolsk, country=Russian Federation, district=Moskova, population=194300}
City{name=Petropavlovsk-Kamtšatski, country=Russian Federation, district=Kamtšatka, population=194100}
City{name=Kamensk-Uralski, country=Russian Federation, district=Sverdlovsk, population=190600}
City{name=Engels, country=Russian Federation, district=Saratov, population=189000}
City{name=Syzran, country=Russian Federation, district=Samara, population=186900}
City{name=Grozny, country=Russian Federation, district=Tšetšenia, population=186000}
City{name=Novotšerkassk, country=Russian Federation, district=Rostov-na-Donu, population=184400}
City{name=Berezniki, country=Russian Federation, district=Perm, population=181900}
City{name=Juzno-Sahalinsk, country=Russian Federation, district=Sahalin, population=179200}
City{name=Volgodonsk, country=Russian Federation, district=Rostov-na-Donu, population=178200}
City{name=Abakan, country=Russian Federation, district=Hakassia, population=169200}
City{name=Maikop, country=Russian Federation, district=Adygea, population=167300}
City{name=Miass, country=Russian Federation, district=Tšeljabinsk, population=166200}
City{name=Armavir, country=Russian Federation, district=Krasnodar, population=164900}
City{name=Ljubertsy, country=Russian Federation, district=Moskova, population=163900}
City{name=Rubtsovsk, country=Russian Federation, district=Altai, population=162600}
City{name=Kovrov, country=Russian Federation, district=Vladimir, population=159900}
City{name=Nahodka, country=Russian Federation, district=Primorje, population=157700}
City{name=Ussurijsk, country=Russian Federation, district=Primorje, population=157300}
City{name=Salavat, country=Russian Federation, district=Baškortostan, population=156800}
City{name=Mytištši, country=Russian Federation, district=Moskova, population=155700}
City{name=Kolomna, country=Russian Federation, district=Moskova, population=150700}
City{name=Elektrostal, country=Russian Federation, district=Moskova, population=147000}
City{name=Murom, country=Russian Federation, district=Vladimir, population=142400}
City{name=Kolpino, country=Russian Federation, district=Pietari, population=141200}
City{name=Norilsk, country=Russian Federation, district=Krasnojarsk, population=140800}
City{name=Almetjevsk, country=Russian Federation, district=Tatarstan, population=140700}
City{name=Novomoskovsk, country=Russian Federation, district=Tula, population=138100}
City{name=Dimitrovgrad, country=Russian Federation, district=Uljanovsk, population=137000}
City{name=Pervouralsk, country=Russian Federation, district=Sverdlovsk, population=136100}
