City{name=Riyadh, country=Saudi Arabia, district=Riyadh, population=3324000}
City{name=Jedda, country=Saudi Arabia, district=Mekka, population=2046300}
City{name=Mekka, country=Saudi Arabia, district=Mekka, population=965700}
City{name=Medina, country=Saudi Arabia, district=Medina, population=608300}
City{name=al-Dammam, country=Saudi Arabia, district=al-Sharqiya, population=482300}
City{name=al-Taif, country=Saudi Arabia, district=Mekka, population=416100}
City{name=Tabuk, country=Saudi Arabia, district=Tabuk, population=292600}
City{name=Burayda, country=Saudi Arabia, district=al-Qasim, population=248600}
City{name=al-Hufuf, country=Saudi Arabia, district=al-Sharqiya, population=225800}
City{name=al-Mubarraz, country=Saudi Arabia, district=al-Sharqiya, population=219100}
City{name=Khamis Mushayt, country=Saudi Arabia, district=Asir, population=217900}
City{name=Hail, country=Saudi Arabia, district=Hail, population=176800}
City{name=al-Kharj, country=Saudi Arabia, district=Riad, population=152100}
City{name=al-Khubar, country=Saudi Arabia, district=al-Sharqiya, population=141700}
City{name=Jubayl, country=Saudi Arabia, district=al-Sharqiya, population=140800}
City{name=Hafar al-Batin, country=Saudi Arabia, district=al-Sharqiya, population=137800}
City{name=al-Tuqba, country=Saudi Arabia, district=al-Sharqiya, population=125700}
City{name=Yanbu, country=Saudi Arabia, district=Medina, population=119800}
City{name=Abha, country=Saudi Arabia, district=Asir, population=112300}
City{name=Ara´ar, country=Saudi Arabia, district=al-Khudud al-Samaliy, population=108100}
City{name=al-Qatif, country=Saudi Arabia, district=al-Sharqiya, population=98900}
City{name=al-Hawiya, country=Saudi Arabia, district=Mekka, population=93900}
City{name=Unayza, country=Saudi Arabia, district=Qasim, population=91100}
City{name=Najran, country=Saudi Arabia, district=Najran, population=91000}
