City{name=Seoul, country=South Korea, district=Seoul, population=9981619}
City{name=Pusan, country=South Korea, district=Pusan, population=3804522}
City{name=Inchon, country=South Korea, district=Inchon, population=2559424}
City{name=Taegu, country=South Korea, district=Taegu, population=2548568}
City{name=Taejon, country=South Korea, district=Taejon, population=1425835}
City{name=Kwangju, country=South Korea, district=Kwangju, population=1368341}
City{name=Ulsan, country=South Korea, district=Kyongsangnam, population=1084891}
City{name=Songnam, country=South Korea, district=Kyonggi, population=869094}
City{name=Puchon, country=South Korea, district=Kyonggi, population=779412}
City{name=Suwon, country=South Korea, district=Kyonggi, population=755550}
City{name=Anyang, country=South Korea, district=Kyonggi, population=591106}
City{name=Chonju, country=South Korea, district=Chollabuk, population=563153}
City{name=Chongju, country=South Korea, district=Chungchongbuk, population=531376}
City{name=Koyang, country=South Korea, district=Kyonggi, population=518282}
City{name=Ansan, country=South Korea, district=Kyonggi, population=510314}
City{name=Pohang, country=South Korea, district=Kyongsangbuk, population=508899}
City{name=Chang-won, country=South Korea, district=Kyongsangnam, population=481694}
City{name=Masan, country=South Korea, district=Kyongsangnam, population=441242}
City{name=Kwangmyong, country=South Korea, district=Kyonggi, population=350914}
City{name=Chonan, country=South Korea, district=Chungchongnam, population=330259}
City{name=Chinju, country=South Korea, district=Kyongsangnam, population=329886}
City{name=Iksan, country=South Korea, district=Chollabuk, population=322685}
City{name=Pyongtaek, country=South Korea, district=Kyonggi, population=312927}
City{name=Kumi, country=South Korea, district=Kyongsangbuk, population=311431}
City{name=Uijongbu, country=South Korea, district=Kyonggi, population=276111}
City{name=Kyongju, country=South Korea, district=Kyongsangbuk, population=272968}
City{name=Kunsan, country=South Korea, district=Chollabuk, population=266569}
City{name=Cheju, country=South Korea, district=Cheju, population=258511}
City{name=Kimhae, country=South Korea, district=Kyongsangnam, population=256370}
City{name=Sunchon, country=South Korea, district=Chollanam, population=249263}
City{name=Mokpo, country=South Korea, district=Chollanam, population=247452}
City{name=Yong-in, country=South Korea, district=Kyonggi, population=242643}
City{name=Wonju, country=South Korea, district=Kang-won, population=237460}
City{name=Kunpo, country=South Korea, district=Kyonggi, population=235233}
City{name=Chunchon, country=South Korea, district=Kang-won, population=234528}
City{name=Namyangju, country=South Korea, district=Kyonggi, population=229060}
City{name=Kangnung, country=South Korea, district=Kang-won, population=220403}
City{name=Chungju, country=South Korea, district=Chungchongbuk, population=205206}
City{name=Andong, country=South Korea, district=Kyongsangbuk, population=188443}
City{name=Yosu, country=South Korea, district=Chollanam, population=183596}
City{name=Kyongsan, country=South Korea, district=Kyongsangbuk, population=173746}
City{name=Paju, country=South Korea, district=Kyonggi, population=163379}
City{name=Yangsan, country=South Korea, district=Kyongsangnam, population=163351}
City{name=Ichon, country=South Korea, district=Kyonggi, population=155332}
City{name=Asan, country=South Korea, district=Chungchongnam, population=154663}
City{name=Koje, country=South Korea, district=Kyongsangnam, population=147562}
City{name=Kimchon, country=South Korea, district=Kyongsangbuk, population=147027}
City{name=Nonsan, country=South Korea, district=Chungchongnam, population=146619}
City{name=Kuri, country=South Korea, district=Kyonggi, population=142173}
City{name=Chong-up, country=South Korea, district=Chollabuk, population=139111}
City{name=Chechon, country=South Korea, district=Chungchongbuk, population=137070}
City{name=Sosan, country=South Korea, district=Chungchongnam, population=134746}
City{name=Shihung, country=South Korea, district=Kyonggi, population=133443}
City{name=Tong-yong, country=South Korea, district=Kyongsangnam, population=131717}
City{name=Kongju, country=South Korea, district=Chungchongnam, population=131229}
City{name=Yongju, country=South Korea, district=Kyongsangbuk, population=131097}
City{name=Chinhae, country=South Korea, district=Kyongsangnam, population=125997}
City{name=Sangju, country=South Korea, district=Kyongsangbuk, population=124116}
City{name=Poryong, country=South Korea, district=Chungchongnam, population=122604}
City{name=Kwang-yang, country=South Korea, district=Chollanam, population=122052}
City{name=Miryang, country=South Korea, district=Kyongsangnam, population=121501}
City{name=Hanam, country=South Korea, district=Kyonggi, population=115812}
City{name=Kimje, country=South Korea, district=Chollabuk, population=115427}
City{name=Yongchon, country=South Korea, district=Kyongsangbuk, population=113511}
City{name=Sachon, country=South Korea, district=Kyongsangnam, population=113494}
City{name=Uiwang, country=South Korea, district=Kyonggi, population=108788}
City{name=Naju, country=South Korea, district=Chollanam, population=107831}
City{name=Namwon, country=South Korea, district=Chollabuk, population=103544}
City{name=Tonghae, country=South Korea, district=Kang-won, population=95472}
City{name=Mun-gyong, country=South Korea, district=Kyongsangbuk, population=92239}
