City{name=Damascus, country=Syria, district=Damascus, population=1347000}
City{name=Aleppo, country=Syria, district=Aleppo, population=1261983}
City{name=Hims, country=Syria, district=Hims, population=507404}
City{name=Hama, country=Syria, district=Hama, population=343361}
City{name=Latakia, country=Syria, district=Latakia, population=264563}
City{name=al-Qamishliya, country=Syria, district=al-Hasaka, population=144286}
City{name=Dayr al-Zawr, country=Syria, district=Dayr al-Zawr, population=140459}
City{name=Jaramana, country=Syria, district=Damaskos, population=138469}
City{name=Duma, country=Syria, district=Damaskos, population=131158}
City{name=al-Raqqa, country=Syria, district=al-Raqqa, population=108020}
City{name=Idlib, country=Syria, district=Idlib, population=91081}
