City{name=Taipei, country=Taiwan, district=Taipei, population=2641312}
City{name=Kaohsiung, country=Taiwan, district=Kaohsiung, population=1475505}
City{name=Taichung, country=Taiwan, district=Taichung, population=940589}
City{name=Tainan, country=Taiwan, district=Tainan, population=728060}
City{name=Panchiao, country=Taiwan, district=Taipei, population=523850}
City{name=Chungho, country=Taiwan, district=Taipei, population=392176}
City{name=Keelung (Chilung), country=Taiwan, district=Keelung, population=385201}
City{name=Sanchung, country=Taiwan, district=Taipei, population=380084}
City{name=Hsinchuang, country=Taiwan, district=Taipei, population=365048}
City{name=Hsinchu, country=Taiwan, district=Hsinchu, population=361958}
City{name=Chungli, country=Taiwan, district=Taoyuan, population=318649}
City{name=Fengshan, country=Taiwan, district=Kaohsiung, population=318562}
City{name=Taoyuan, country=Taiwan, district=Taoyuan, population=316438}
City{name=Chiayi, country=Taiwan, district=Chiayi, population=265109}
City{name=Hsintien, country=Taiwan, district=Taipei, population=263603}
City{name=Changhwa, country=Taiwan, district=Changhwa, population=227715}
City{name=Yungho, country=Taiwan, district=Taipei, population=227700}
City{name=Tucheng, country=Taiwan, district=Taipei, population=224897}
City{name=Pingtung, country=Taiwan, district=Pingtung, population=214727}
City{name=Yungkang, country=Taiwan, district=Tainan, population=193005}
City{name=Pingchen, country=Taiwan, district=Taoyuan, population=188344}
City{name=Tali, country=Taiwan, district=Taichung, population=171940}
City{name=Taiping, country=Taiwan, district=, population=165524}
City{name=Pate, country=Taiwan, district=Taoyuan, population=161700}
City{name=Fengyuan, country=Taiwan, district=Taichung, population=161032}
City{name=Luchou, country=Taiwan, district=Taipei, population=160516}
City{name=Hsichuh, country=Taiwan, district=Taipei, population=154976}
City{name=Shulin, country=Taiwan, district=Taipei, population=151260}
City{name=Yuanlin, country=Taiwan, district=Changhwa, population=126402}
City{name=Yangmei, country=Taiwan, district=Taoyuan, population=126323}
City{name=Taliao, country=Taiwan, district=, population=115897}
City{name=Kueishan, country=Taiwan, district=, population=112195}
City{name=Tanshui, country=Taiwan, district=Taipei, population=111882}
City{name=Taitung, country=Taiwan, district=Taitung, population=111039}
City{name=Hualien, country=Taiwan, district=Hualien, population=108407}
City{name=Nantou, country=Taiwan, district=Nantou, population=104723}
City{name=Lungtan, country=Taiwan, district=Taipei, population=103088}
City{name=Touliu, country=Taiwan, district=Yünlin, population=98900}
City{name=Tsaotun, country=Taiwan, district=Nantou, population=96800}
City{name=Kangshan, country=Taiwan, district=Kaohsiung, population=92200}
City{name=Ilan, country=Taiwan, district=Ilan, population=92000}
City{name=Miaoli, country=Taiwan, district=Miaoli, population=90000}
