City{name=Istanbul, country=Turkey, district=Istanbul, population=8787958}
City{name=Ankara, country=Turkey, district=Ankara, population=3038159}
City{name=Izmir, country=Turkey, district=Izmir, population=2130359}
City{name=Adana, country=Turkey, district=Adana, population=1131198}
City{name=Bursa, country=Turkey, district=Bursa, population=1095842}
City{name=Gaziantep, country=Turkey, district=Gaziantep, population=789056}
City{name=Konya, country=Turkey, district=Konya, population=628364}
City{name=Mersin (Içel), country=Turkey, district=Içel, population=587212}
City{name=Antalya, country=Turkey, district=Antalya, population=564914}
City{name=Diyarbakir, country=Turkey, district=Diyarbakir, population=479884}
City{name=Kayseri, country=Turkey, district=Kayseri, population=475657}
City{name=Eskisehir, country=Turkey, district=Eskisehir, population=470781}
City{name=Sanliurfa, country=Turkey, district=Sanliurfa, population=405905}
City{name=Samsun, country=Turkey, district=Samsun, population=339871}
City{name=Malatya, country=Turkey, district=Malatya, population=330312}
City{name=Gebze, country=Turkey, district=Kocaeli, population=264170}
City{name=Denizli, country=Turkey, district=Denizli, population=253848}
City{name=Sivas, country=Turkey, district=Sivas, population=246642}
City{name=Erzurum, country=Turkey, district=Erzurum, population=246535}
City{name=Tarsus, country=Turkey, district=Adana, population=246206}
City{name=Kahramanmaras, country=Turkey, district=Kahramanmaras, population=245772}
City{name=Elâzig, country=Turkey, district=Elâzig, population=228815}
City{name=Van, country=Turkey, district=Van, population=219319}
City{name=Sultanbeyli, country=Turkey, district=Istanbul, population=211068}
City{name=Izmit (Kocaeli), country=Turkey, district=Kocaeli, population=210068}
City{name=Manisa, country=Turkey, district=Manisa, population=207148}
City{name=Batman, country=Turkey, district=Batman, population=203793}
City{name=Balikesir, country=Turkey, district=Balikesir, population=196382}
City{name=Sakarya (Adapazari), country=Turkey, district=Sakarya, population=190641}
City{name=Iskenderun, country=Turkey, district=Hatay, population=153022}
City{name=Osmaniye, country=Turkey, district=Osmaniye, population=146003}
City{name=Çorum, country=Turkey, district=Çorum, population=145495}
City{name=Kütahya, country=Turkey, district=Kütahya, population=144761}
City{name=Hatay (Antakya), country=Turkey, district=Hatay, population=143982}
City{name=Kirikkale, country=Turkey, district=Kirikkale, population=142044}
City{name=Adiyaman, country=Turkey, district=Adiyaman, population=141529}
City{name=Trabzon, country=Turkey, district=Trabzon, population=138234}
City{name=Ordu, country=Turkey, district=Ordu, population=133642}
City{name=Aydin, country=Turkey, district=Aydin, population=128651}
City{name=Usak, country=Turkey, district=Usak, population=128162}
City{name=Edirne, country=Turkey, district=Edirne, population=123383}
City{name=Çorlu, country=Turkey, district=Tekirdag, population=123300}
City{name=Isparta, country=Turkey, district=Isparta, population=121911}
City{name=Karabük, country=Turkey, district=Karabük, population=118285}
City{name=Kilis, country=Turkey, district=Kilis, population=118245}
City{name=Alanya, country=Turkey, district=Antalya, population=117300}
City{name=Kiziltepe, country=Turkey, district=Mardin, population=112000}
City{name=Zonguldak, country=Turkey, district=Zonguldak, population=111542}
City{name=Siirt, country=Turkey, district=Siirt, population=107100}
City{name=Viransehir, country=Turkey, district=Sanliurfa, population=106400}
City{name=Tekirdag, country=Turkey, district=Tekirdag, population=106077}
City{name=Karaman, country=Turkey, district=Karaman, population=104200}
City{name=Afyon, country=Turkey, district=Afyon, population=103984}
City{name=Aksaray, country=Turkey, district=Aksaray, population=102681}
City{name=Ceyhan, country=Turkey, district=Adana, population=102412}
City{name=Erzincan, country=Turkey, district=Erzincan, population=102304}
City{name=Bismil, country=Turkey, district=Diyarbakir, population=101400}
City{name=Nazilli, country=Turkey, district=Aydin, population=99900}
City{name=Tokat, country=Turkey, district=Tokat, population=99500}
City{name=Kars, country=Turkey, district=Kars, population=93000}
City{name=Inegöl, country=Turkey, district=Bursa, population=90500}
City{name=Bandirma, country=Turkey, district=Balikesir, population=90200}
