City{name=Toskent, country=Uzbekistan, district=Toskent Shahri, population=2117500}
City{name=Namangan, country=Uzbekistan, district=Namangan, population=370500}
City{name=Samarkand, country=Uzbekistan, district=Samarkand, population=361800}
City{name=Andijon, country=Uzbekistan, district=Andijon, population=318600}
City{name=Buhoro, country=Uzbekistan, district=Buhoro, population=237100}
City{name=Karsi, country=Uzbekistan, district=Qashqadaryo, population=194100}
City{name=Nukus, country=Uzbekistan, district=Karakalpakistan, population=194100}
City{name=Kükon, country=Uzbekistan, district=Fargona, population=190100}
City{name=Fargona, country=Uzbekistan, district=Fargona, population=180500}
City{name=Circik, country=Uzbekistan, district=Toskent, population=146400}
City{name=Margilon, country=Uzbekistan, district=Fargona, population=140800}
City{name=Ürgenc, country=Uzbekistan, district=Khorazm, population=138900}
City{name=Angren, country=Uzbekistan, district=Toskent, population=128000}
City{name=Cizah, country=Uzbekistan, district=Cizah, population=124800}
City{name=Navoi, country=Uzbekistan, district=Navoi, population=116300}
City{name=Olmalik, country=Uzbekistan, district=Toskent, population=114900}
City{name=Termiz, country=Uzbekistan, district=Surkhondaryo, population=109500}
