City{name=Caracas, country=Venezuela, district=Distrito Federal, population=1975294}
City{name=Maracaíbo, country=Venezuela, district=Zulia, population=1304776}
City{name=Barquisimeto, country=Venezuela, district=Lara, population=877239}
City{name=Valencia, country=Venezuela, district=Carabobo, population=794246}
City{name=Ciudad Guayana, country=Venezuela, district=Bolívar, population=663713}
City{name=Petare, country=Venezuela, district=Miranda, population=488868}
City{name=Maracay, country=Venezuela, district=Aragua, population=444443}
City{name=Barcelona, country=Venezuela, district=Anzoátegui, population=322267}
City{name=Maturín, country=Venezuela, district=Monagas, population=319726}
City{name=San Cristóbal, country=Venezuela, district=Táchira, population=319373}
City{name=Ciudad Bolívar, country=Venezuela, district=Bolívar, population=301107}
City{name=Cumaná, country=Venezuela, district=Sucre, population=293105}
City{name=Mérida, country=Venezuela, district=Mérida, population=224887}
City{name=Cabimas, country=Venezuela, district=Zulia, population=221329}
City{name=Barinas, country=Venezuela, district=Barinas, population=217831}
City{name=Turmero, country=Venezuela, district=Aragua, population=217499}
City{name=Baruta, country=Venezuela, district=Miranda, population=207290}
City{name=Puerto Cabello, country=Venezuela, district=Carabobo, population=187722}
City{name=Santa Ana de Coro, country=Venezuela, district=Falcón, population=185766}
City{name=Los Teques, country=Venezuela, district=Miranda, population=178784}
City{name=Punto Fijo, country=Venezuela, district=Falcón, population=167215}
City{name=Guarenas, country=Venezuela, district=Miranda, population=165889}
City{name=Acarigua, country=Venezuela, district=Portuguesa, population=158954}
City{name=Puerto La Cruz, country=Venezuela, district=Anzoátegui, population=155700}
City{name=Ciudad Losada, country=Venezuela, district=, population=134501}
City{name=Guacara, country=Venezuela, district=Carabobo, population=131334}
City{name=Valera, country=Venezuela, district=Trujillo, population=130281}
City{name=Guanare, country=Venezuela, district=Portuguesa, population=125621}
City{name=Carúpano, country=Venezuela, district=Sucre, population=119639}
City{name=Catia La Mar, country=Venezuela, district=Distrito Federal, population=117012}
City{name=El Tigre, country=Venezuela, district=Anzoátegui, population=116256}
City{name=Guatire, country=Venezuela, district=Miranda, population=109121}
City{name=Calabozo, country=Venezuela, district=Guárico, population=107146}
City{name=Pozuelos, country=Venezuela, district=Anzoátegui, population=105690}
City{name=Ciudad Ojeda, country=Venezuela, district=Zulia, population=99354}
City{name=Ocumare del Tuy, country=Venezuela, district=Miranda, population=97168}
City{name=Valle de la Pascua, country=Venezuela, district=Guárico, population=95927}
City{name=Araure, country=Venezuela, district=Portuguesa, population=94269}
City{name=San Fernando de Apure, country=Venezuela, district=Apure, population=93809}
City{name=San Felipe, country=Venezuela, district=Yaracuy, population=90940}
City{name=El Limón, country=Venezuela, district=Aragua, population=90000}
