City{name=Hefei, country=China, district=Anhui, population=1369100}
City{name=Huainan, country=China, district=Anhui, population=700000}
City{name=Bengbu, country=China, district=Anhui, population=449245}
City{name=Wuhu, country=China, district=Anhui, population=425740}
City{name=Huaibei, country=China, district=Anhui, population=366549}
City{name=Ma´anshan, country=China, district=Anhui, population=305421}
City{name=Anqing, country=China, district=Anhui, population=250718}
City{name=Tongling, country=China, district=Anhui, population=228017}
City{name=Fuyang, country=China, district=Anhui, population=179572}
City{name=Suzhou, country=China, district=Anhui, population=151862}
City{name=Liu´an, country=China, district=Anhui, population=144248}
City{name=Chuzhou, country=China, district=Anhui, population=125341}
City{name=Chaohu, country=China, district=Anhui, population=123676}
City{name=Xuangzhou, country=China, district=Anhui, population=112673}
City{name=Bozhou, country=China, district=Anhui, population=106346}
City{name=Huangshan, country=China, district=Anhui, population=102628}
