City{name=La Matanza, country=Argentina, district=Buenos Aires, population=1266461}
City{name=Lomas de Zamora, country=Argentina, district=Buenos Aires, population=622013}
City{name=Quilmes, country=Argentina, district=Buenos Aires, population=559249}
City{name=Almirante Brown, country=Argentina, district=Buenos Aires, population=538918}
City{name=La Plata, country=Argentina, district=Buenos Aires, population=521936}
City{name=Mar del Plata, country=Argentina, district=Buenos Aires, population=512880}
City{name=Lanús, country=Argentina, district=Buenos Aires, population=469735}
City{name=Merlo, country=Argentina, district=Buenos Aires, population=463846}
City{name=General San Martín, country=Argentina, district=Buenos Aires, population=422542}
City{name=Moreno, country=Argentina, district=Buenos Aires, population=356993}
City{name=Avellaneda, country=Argentina, district=Buenos Aires, population=353046}
City{name=Tres de Febrero, country=Argentina, district=Buenos Aires, population=352311}
City{name=Morón, country=Argentina, district=Buenos Aires, population=349246}
City{name=Florencio Varela, country=Argentina, district=Buenos Aires, population=315432}
City{name=San Isidro, country=Argentina, district=Buenos Aires, population=306341}
City{name=Tigre, country=Argentina, district=Buenos Aires, population=296226}
City{name=Malvinas Argentinas, country=Argentina, district=Buenos Aires, population=290335}
City{name=Vicente López, country=Argentina, district=Buenos Aires, population=288341}
City{name=Berazategui, country=Argentina, district=Buenos Aires, population=276916}
City{name=San Miguel, country=Argentina, district=Buenos Aires, population=248700}
City{name=Bahía Blanca, country=Argentina, district=Buenos Aires, population=239810}
City{name=Esteban Echeverría, country=Argentina, district=Buenos Aires, population=235760}
City{name=José C. Paz, country=Argentina, district=Buenos Aires, population=221754}
City{name=Hurlingham, country=Argentina, district=Buenos Aires, population=170028}
City{name=Ituzaingó, country=Argentina, district=Buenos Aires, population=158197}
City{name=San Fernando, country=Argentina, district=Buenos Aires, population=153036}
City{name=San Nicolás de los Arroyos, country=Argentina, district=Buenos Aires, population=119302}
City{name=Escobar, country=Argentina, district=Buenos Aires, population=116675}
City{name=Pilar, country=Argentina, district=Buenos Aires, population=113428}
City{name=Ezeiza, country=Argentina, district=Buenos Aires, population=99578}
City{name=Tandil, country=Argentina, district=Buenos Aires, population=91101}
