City{name=Semarang, country=Indonesia, district=Central Java, population=1104405}
City{name=Surakarta, country=Indonesia, district=Central Java, population=518600}
City{name=Pekalongan, country=Indonesia, district=Central Java, population=301504}
City{name=Tegal, country=Indonesia, district=Central Java, population=289744}
City{name=Cilacap, country=Indonesia, district=Central Java, population=206900}
City{name=Purwokerto, country=Indonesia, district=Central Java, population=202500}
City{name=Magelang, country=Indonesia, district=Central Java, population=123800}
City{name=Pemalang, country=Indonesia, district=Central Java, population=103500}
City{name=Klaten, country=Indonesia, district=Central Java, population=103300}
City{name=Salatiga, country=Indonesia, district=Central Java, population=103000}
City{name=Kudus, country=Indonesia, district=Central Java, population=95300}
