City{name=San José del Monte, country=Philippines, district=Central Luzon, population=315807}
City{name=Angeles, country=Philippines, district=Central Luzon, population=263971}
City{name=Tarlac, country=Philippines, district=Central Luzon, population=262481}
City{name=Cabanatuan, country=Philippines, district=Central Luzon, population=222859}
City{name=San Fernando, country=Philippines, district=Central Luzon, population=221857}
City{name=Olongapo, country=Philippines, district=Central Luzon, population=194260}
City{name=Malolos, country=Philippines, district=Central Luzon, population=175291}
City{name=Mabalacat, country=Philippines, district=Central Luzon, population=171045}
City{name=Meycauayan, country=Philippines, district=Central Luzon, population=163037}
City{name=Santa Maria, country=Philippines, district=Central Luzon, population=144282}
City{name=Lubao, country=Philippines, district=Central Luzon, population=125699}
City{name=San Miguel, country=Philippines, district=Central Luzon, population=123824}
City{name=Baliuag, country=Philippines, district=Central Luzon, population=119675}
City{name=Concepcion, country=Philippines, district=Central Luzon, population=115171}
City{name=Hagonoy, country=Philippines, district=Central Luzon, population=111425}
City{name=Mexico, country=Philippines, district=Central Luzon, population=109481}
City{name=San Jose, country=Philippines, district=Central Luzon, population=108254}
City{name=Arayat, country=Philippines, district=Central Luzon, population=101792}
City{name=Marilao, country=Philippines, district=Central Luzon, population=101017}
City{name=Talavera, country=Philippines, district=Central Luzon, population=97329}
City{name=Guagua, country=Philippines, district=Central Luzon, population=96858}
City{name=Capas, country=Philippines, district=Central Luzon, population=95219}
