City{name=Kampala, country=Uganda, district=Central, population=890800}
City{name=Kathmandu, country=Nepal, district=Central, population=591835}
City{name=Kabwe, country=Zambia, district=Central, population=154300}
City{name=Lalitapur, country=Nepal, district=Central, population=145847}
City{name=Kandy, country=Sri Lanka, district=Central, population=140000}
City{name=San Lorenzo, country=Paraguay, district=Central, population=133395}
City{name=Lambaré, country=Paraguay, district=Central, population=99681}
City{name=Fernando de la Mora, country=Paraguay, district=Central, population=95287}
City{name=Nyeri, country=Kenya, district=Central, population=91258}
City{name=Birgunj, country=Nepal, district=Central, population=90639}
City{name=Suva, country=Fiji Islands, district=Central, population=77366}
