City{name=Chiba, country=Japan, district=Chiba, population=863930}
City{name=Funabashi, country=Japan, district=Chiba, population=545299}
City{name=Matsudo, country=Japan, district=Chiba, population=461126}
City{name=Ichikawa, country=Japan, district=Chiba, population=441893}
City{name=Kashiwa, country=Japan, district=Chiba, population=320296}
City{name=Ichihara, country=Japan, district=Chiba, population=279280}
City{name=Sakura, country=Japan, district=Chiba, population=168072}
City{name=Yachiyo, country=Japan, district=Chiba, population=161222}
City{name=Narashino, country=Japan, district=Chiba, population=152849}
City{name=Nagareyama, country=Japan, district=Chiba, population=147738}
City{name=Urayasu, country=Japan, district=Chiba, population=127550}
City{name=Abiko, country=Japan, district=Chiba, population=126670}
City{name=Kisarazu, country=Japan, district=Chiba, population=121967}
City{name=Noda, country=Japan, district=Chiba, population=121030}
City{name=Kamagaya, country=Japan, district=Chiba, population=100821}
City{name=Nishio, country=Japan, district=Chiba, population=100032}
City{name=Kimitsu, country=Japan, district=Chiba, population=93216}
City{name=Mobara, country=Japan, district=Chiba, population=91664}
City{name=Narita, country=Japan, district=Chiba, population=91470}
