City{name=Fuzhou, country=China, district=Fujian, population=1593800}
City{name=Amoy [Xiamen], country=China, district=Fujian, population=627500}
City{name=Nanping, country=China, district=Fujian, population=195064}
City{name=Quanzhou, country=China, district=Fujian, population=185154}
City{name=Zhangzhou, country=China, district=Fujian, population=181424}
City{name=Sanming, country=China, district=Fujian, population=160691}
City{name=Longyan, country=China, district=Fujian, population=134481}
City{name=Yong´an, country=China, district=Fujian, population=111762}
City{name=Fu´an, country=China, district=Fujian, population=105265}
City{name=Fuqing, country=China, district=Fujian, population=99193}
City{name=Putian, country=China, district=Fujian, population=91030}
City{name=Shaowu, country=China, district=Fujian, population=90286}
