City{name=Soweto, country=South Africa, district=Gauteng, population=904165}
City{name=Johannesburg, country=South Africa, district=Gauteng, population=756653}
City{name=Pretoria, country=South Africa, district=Gauteng, population=658630}
City{name=Vanderbijlpark, country=South Africa, district=Gauteng, population=468931}
City{name=Kempton Park, country=South Africa, district=Gauteng, population=442633}
City{name=Alberton, country=South Africa, district=Gauteng, population=410102}
City{name=Benoni, country=South Africa, district=Gauteng, population=365467}
City{name=Randburg, country=South Africa, district=Gauteng, population=341288}
City{name=Vereeniging, country=South Africa, district=Gauteng, population=328535}
City{name=Wonderboom, country=South Africa, district=Gauteng, population=283289}
City{name=Roodepoort, country=South Africa, district=Gauteng, population=279340}
City{name=Boksburg, country=South Africa, district=Gauteng, population=262648}
City{name=Soshanguve, country=South Africa, district=Gauteng, population=242727}
City{name=Krugersdorp, country=South Africa, district=Gauteng, population=181503}
City{name=Brakpan, country=South Africa, district=Gauteng, population=171363}
City{name=Oberholzer, country=South Africa, district=Gauteng, population=164367}
City{name=Germiston, country=South Africa, district=Gauteng, population=164252}
City{name=Springs, country=South Africa, district=Gauteng, population=162072}
City{name=Westonaria, country=South Africa, district=Gauteng, population=159632}
City{name=Randfontein, country=South Africa, district=Gauteng, population=120838}
City{name=Nigel, country=South Africa, district=Gauteng, population=96734}
