City{name=Kanton [Guangzhou], country=China, district=Guangdong, population=4256300}
City{name=Shenzhen, country=China, district=Guangdong, population=950500}
City{name=Shantou, country=China, district=Guangdong, population=580000}
City{name=Zhangjiang, country=China, district=Guangdong, population=400997}
City{name=Shaoguan, country=China, district=Guangdong, population=350043}
City{name=Chaozhou, country=China, district=Guangdong, population=313469}
City{name=Dongwan, country=China, district=Guangdong, population=308669}
City{name=Foshan, country=China, district=Guangdong, population=303160}
City{name=Zhongshan, country=China, district=Guangdong, population=278829}
City{name=Jiangmen, country=China, district=Guangdong, population=230587}
City{name=Yangjiang, country=China, district=Guangdong, population=215196}
City{name=Zhaoqing, country=China, district=Guangdong, population=194784}
City{name=Maoming, country=China, district=Guangdong, population=178683}
City{name=Zhuhai, country=China, district=Guangdong, population=164747}
City{name=Qingyuan, country=China, district=Guangdong, population=164641}
City{name=Huizhou, country=China, district=Guangdong, population=161023}
City{name=Meixian, country=China, district=Guangdong, population=132156}
City{name=Heyuan, country=China, district=Guangdong, population=120101}
City{name=Shanwei, country=China, district=Guangdong, population=107847}
City{name=Jieyang, country=China, district=Guangdong, population=98531}
