City{name=Shijiazhuang, country=China, district=Hebei, population=2041500}
City{name=Tangshan, country=China, district=Hebei, population=1040000}
City{name=Handan, country=China, district=Hebei, population=840000}
City{name=Zhangjiakou, country=China, district=Hebei, population=530000}
City{name=Baoding, country=China, district=Hebei, population=483155}
City{name=Qinhuangdao, country=China, district=Hebei, population=364972}
City{name=Xingtai, country=China, district=Hebei, population=302789}
City{name=Chengde, country=China, district=Hebei, population=246799}
City{name=Cangzhou, country=China, district=Hebei, population=242708}
City{name=Langfang, country=China, district=Hebei, population=148105}
City{name=Renqiu, country=China, district=Hebei, population=114256}
City{name=Hengshui, country=China, district=Hebei, population=104269}
