City{name=Harbin, country=China, district=Heilongjiang, population=4289800}
City{name=Qiqihar, country=China, district=Heilongjiang, population=1070000}
City{name=Yichun, country=China, district=Heilongjiang, population=800000}
City{name=Jixi, country=China, district=Heilongjiang, population=683885}
City{name=Daqing, country=China, district=Heilongjiang, population=660000}
City{name=Mudanjiang, country=China, district=Heilongjiang, population=570000}
City{name=Hegang, country=China, district=Heilongjiang, population=520000}
City{name=Jiamusi, country=China, district=Heilongjiang, population=493409}
City{name=Shuangyashan, country=China, district=Heilongjiang, population=386081}
City{name=Tieli, country=China, district=Heilongjiang, population=265683}
City{name=Suihua, country=China, district=Heilongjiang, population=227881}
City{name=Shangzi, country=China, district=Heilongjiang, population=215373}
City{name=Qitaihe, country=China, district=Heilongjiang, population=214957}
City{name=Bei´an, country=China, district=Heilongjiang, population=204899}
City{name=Acheng, country=China, district=Heilongjiang, population=197595}
City{name=Zhaodong, country=China, district=Heilongjiang, population=179976}
City{name=Shuangcheng, country=China, district=Heilongjiang, population=142659}
City{name=Anda, country=China, district=Heilongjiang, population=136446}
City{name=Hailun, country=China, district=Heilongjiang, population=133565}
City{name=Mishan, country=China, district=Heilongjiang, population=132744}
City{name=Fujin, country=China, district=Heilongjiang, population=103104}
