City{name=Zhengzhou, country=China, district=Henan, population=2107200}
City{name=Luoyang, country=China, district=Henan, population=760000}
City{name=Kaifeng, country=China, district=Henan, population=510000}
City{name=Xinxiang, country=China, district=Henan, population=473762}
City{name=Anyang, country=China, district=Henan, population=420332}
City{name=Pingdingshan, country=China, district=Henan, population=410775}
City{name=Jiaozuo, country=China, district=Henan, population=409100}
City{name=Nanyang, country=China, district=Henan, population=243303}
City{name=Hebi, country=China, district=Henan, population=212976}
City{name=Xuchang, country=China, district=Henan, population=208815}
City{name=Xinyang, country=China, district=Henan, population=192509}
City{name=Puyang, country=China, district=Henan, population=175988}
City{name=Shangqiu, country=China, district=Henan, population=164880}
City{name=Zhoukou, country=China, district=Henan, population=146288}
City{name=Luohe, country=China, district=Henan, population=126438}
City{name=Zhumadian, country=China, district=Henan, population=123232}
City{name=Sanmenxia, country=China, district=Henan, population=120523}
City{name=Yuzhou, country=China, district=Henan, population=92889}
