City{name=Wuhan, country=China, district=Hubei, population=4344600}
City{name=Huangshi, country=China, district=Hubei, population=457601}
City{name=Xiangfan, country=China, district=Hubei, population=410407}
City{name=Yichang, country=China, district=Hubei, population=371601}
City{name=Shashi, country=China, district=Hubei, population=281352}
City{name=Shiyan, country=China, district=Hubei, population=273786}
City{name=Xiantao, country=China, district=Hubei, population=222884}
City{name=Qianjiang, country=China, district=Hubei, population=205504}
City{name=Honghu, country=China, district=Hubei, population=190772}
City{name=Ezhou, country=China, district=Hubei, population=190123}
City{name=Tianmen, country=China, district=Hubei, population=186332}
City{name=Xiaogan, country=China, district=Hubei, population=166280}
City{name=Zaoyang, country=China, district=Hubei, population=162198}
City{name=Jinmen, country=China, district=Hubei, population=160794}
City{name=Suizhou, country=China, district=Hubei, population=142302}
City{name=Xianning, country=China, district=Hubei, population=136811}
City{name=Laohekou, country=China, district=Hubei, population=123366}
City{name=Puqi, country=China, district=Hubei, population=117264}
City{name=Shishou, country=China, district=Hubei, population=104571}
City{name=Danjiangkou, country=China, district=Hubei, population=103211}
City{name=Guangshui, country=China, district=Hubei, population=102770}
City{name=Enshi, country=China, district=Hubei, population=93056}
