City{name=Changsha, country=China, district=Hunan, population=1809800}
City{name=Hengyang, country=China, district=Hunan, population=487148}
City{name=Xiangtan, country=China, district=Hunan, population=441968}
City{name=Zhuzhou, country=China, district=Hunan, population=409924}
City{name=Yueyang, country=China, district=Hunan, population=302800}
City{name=Changde, country=China, district=Hunan, population=301276}
City{name=Shaoyang, country=China, district=Hunan, population=247227}
City{name=Yiyang, country=China, district=Hunan, population=185818}
City{name=Chenzhou, country=China, district=Hunan, population=169400}
City{name=Lengshuijiang, country=China, district=Hunan, population=137994}
City{name=Leiyang, country=China, district=Hunan, population=130115}
City{name=Loudi, country=China, district=Hunan, population=128418}
City{name=Huaihua, country=China, district=Hunan, population=126785}
City{name=Lianyuan, country=China, district=Hunan, population=118858}
City{name=Hongjiang, country=China, district=Hunan, population=116188}
City{name=Zixing, country=China, district=Hunan, population=110048}
City{name=Liling, country=China, district=Hunan, population=108504}
City{name=Yuanjiang, country=China, district=Hunan, population=107004}
