City{name=Kobe, country=Japan, district=Hyogo, population=1425139}
City{name=Amagasaki, country=Japan, district=Hyogo, population=481434}
City{name=Himeji, country=Japan, district=Hyogo, population=475167}
City{name=Nishinomiya, country=Japan, district=Hyogo, population=397618}
City{name=Akashi, country=Japan, district=Hyogo, population=292253}
City{name=Kakogawa, country=Japan, district=Hyogo, population=266281}
City{name=Takarazuka, country=Japan, district=Hyogo, population=205993}
City{name=Itami, country=Japan, district=Hyogo, population=190886}
City{name=Kawanishi, country=Japan, district=Hyogo, population=149794}
City{name=Sanda, country=Japan, district=Hyogo, population=105643}
City{name=Takasago, country=Japan, district=Hyogo, population=97632}
