City{name=Nanking [Nanjing], country=China, district=Jiangsu, population=2870300}
City{name=Wuxi, country=China, district=Jiangsu, population=830000}
City{name=Xuzhou, country=China, district=Jiangsu, population=810000}
City{name=Suzhou, country=China, district=Jiangsu, population=710000}
City{name=Changzhou, country=China, district=Jiangsu, population=530000}
City{name=Zhenjiang, country=China, district=Jiangsu, population=368316}
City{name=Lianyungang, country=China, district=Jiangsu, population=354139}
City{name=Nantong, country=China, district=Jiangsu, population=343341}
City{name=Yangzhou, country=China, district=Jiangsu, population=312892}
City{name=Yancheng, country=China, district=Jiangsu, population=296831}
City{name=Huaiyin, country=China, district=Jiangsu, population=239675}
City{name=Jiangyin, country=China, district=Jiangsu, population=213659}
City{name=Yixing, country=China, district=Jiangsu, population=200824}
City{name=Dongtai, country=China, district=Jiangsu, population=192247}
City{name=Changshu, country=China, district=Jiangsu, population=181805}
City{name=Danyang, country=China, district=Jiangsu, population=169603}
City{name=Xinghua, country=China, district=Jiangsu, population=161910}
City{name=Taizhou, country=China, district=Jiangsu, population=152442}
City{name=Huai´an, country=China, district=Jiangsu, population=131149}
City{name=Qidong, country=China, district=Jiangsu, population=126872}
City{name=Liyang, country=China, district=Jiangsu, population=109520}
City{name=Yizheng, country=China, district=Jiangsu, population=109268}
City{name=Suqian, country=China, district=Jiangsu, population=105021}
City{name=Kunshan, country=China, district=Jiangsu, population=102052}
City{name=Zhangjiagang, country=China, district=Jiangsu, population=97994}
