City{name=Nanchang, country=China, district=Jiangxi, population=1691600}
City{name=Pingxiang, country=China, district=Jiangxi, population=425579}
City{name=Jiujiang, country=China, district=Jiangxi, population=291187}
City{name=Jingdezhen, country=China, district=Jiangxi, population=281183}
City{name=Ganzhou, country=China, district=Jiangxi, population=220129}
City{name=Fengcheng, country=China, district=Jiangxi, population=193784}
City{name=Xinyu, country=China, district=Jiangxi, population=173524}
City{name=Yichun, country=China, district=Jiangxi, population=151585}
City{name=Ji´an, country=China, district=Jiangxi, population=148583}
City{name=Shangrao, country=China, district=Jiangxi, population=132455}
City{name=Linchuan, country=China, district=Jiangxi, population=121949}
