City{name=Changchun, country=China, district=Jilin, population=2812000}
City{name=Jilin, country=China, district=Jilin, population=1040000}
City{name=Hunjiang, country=China, district=Jilin, population=482043}
City{name=Liaoyuan, country=China, district=Jilin, population=354141}
City{name=Tonghua, country=China, district=Jilin, population=324600}
City{name=Siping, country=China, district=Jilin, population=317223}
City{name=Dunhua, country=China, district=Jilin, population=235100}
City{name=Yanji, country=China, district=Jilin, population=230892}
City{name=Gongziling, country=China, district=Jilin, population=226569}
City{name=Baicheng, country=China, district=Jilin, population=217987}
City{name=Meihekou, country=China, district=Jilin, population=209038}
City{name=Fuyu, country=China, district=Jilin, population=192981}
City{name=Jiutai, country=China, district=Jilin, population=180130}
City{name=Jiaohe, country=China, district=Jilin, population=176367}
City{name=Huadian, country=China, district=Jilin, population=175873}
City{name=Taonan, country=China, district=Jilin, population=150168}
City{name=Longjing, country=China, district=Jilin, population=139417}
City{name=Da´an, country=China, district=Jilin, population=138963}
City{name=Yushu, country=China, district=Jilin, population=131861}
City{name=Tumen, country=China, district=Jilin, population=91471}
