City{name=Songnam, country=South Korea, district=Kyonggi, population=869094}
City{name=Puchon, country=South Korea, district=Kyonggi, population=779412}
City{name=Suwon, country=South Korea, district=Kyonggi, population=755550}
City{name=Anyang, country=South Korea, district=Kyonggi, population=591106}
City{name=Koyang, country=South Korea, district=Kyonggi, population=518282}
City{name=Ansan, country=South Korea, district=Kyonggi, population=510314}
City{name=Kwangmyong, country=South Korea, district=Kyonggi, population=350914}
City{name=Pyongtaek, country=South Korea, district=Kyonggi, population=312927}
City{name=Uijongbu, country=South Korea, district=Kyonggi, population=276111}
City{name=Yong-in, country=South Korea, district=Kyonggi, population=242643}
City{name=Kunpo, country=South Korea, district=Kyonggi, population=235233}
City{name=Namyangju, country=South Korea, district=Kyonggi, population=229060}
City{name=Paju, country=South Korea, district=Kyonggi, population=163379}
City{name=Ichon, country=South Korea, district=Kyonggi, population=155332}
City{name=Kuri, country=South Korea, district=Kyonggi, population=142173}
City{name=Shihung, country=South Korea, district=Kyonggi, population=133443}
City{name=Hanam, country=South Korea, district=Kyonggi, population=115812}
City{name=Uiwang, country=South Korea, district=Kyonggi, population=108788}
