City{name=Shenyang, country=China, district=Liaoning, population=4265200}
City{name=Dalian, country=China, district=Liaoning, population=2697000}
City{name=Anshan, country=China, district=Liaoning, population=1200000}
City{name=Fushun, country=China, district=Liaoning, population=1200000}
City{name=Benxi, country=China, district=Liaoning, population=770000}
City{name=Fuxin, country=China, district=Liaoning, population=640000}
City{name=Jinzhou, country=China, district=Liaoning, population=570000}
City{name=Dandong, country=China, district=Liaoning, population=520000}
City{name=Liaoyang, country=China, district=Liaoning, population=492559}
City{name=Yingkou, country=China, district=Liaoning, population=421589}
City{name=Panjin, country=China, district=Liaoning, population=362773}
City{name=Jinxi, country=China, district=Liaoning, population=357052}
City{name=Tieling, country=China, district=Liaoning, population=254842}
City{name=Wafangdian, country=China, district=Liaoning, population=251733}
City{name=Chaoyang, country=China, district=Liaoning, population=222394}
City{name=Haicheng, country=China, district=Liaoning, population=205560}
City{name=Beipiao, country=China, district=Liaoning, population=194301}
City{name=Tiefa, country=China, district=Liaoning, population=131807}
City{name=Kaiyuan, country=China, district=Liaoning, population=124219}
City{name=Xingcheng, country=China, district=Liaoning, population=102384}
City{name=Jinzhou, country=China, district=Liaoning, population=95761}
