City{name=Indore, country=India, district=Madhya Pradesh, population=1091674}
City{name=Bhopal, country=India, district=Madhya Pradesh, population=1062771}
City{name=Jabalpur, country=India, district=Madhya Pradesh, population=741927}
City{name=Gwalior, country=India, district=Madhya Pradesh, population=690765}
City{name=Ujjain, country=India, district=Madhya Pradesh, population=362266}
City{name=Sagar, country=India, district=Madhya Pradesh, population=195346}
City{name=Ratlam, country=India, district=Madhya Pradesh, population=183375}
City{name=Burhanpur, country=India, district=Madhya Pradesh, population=172710}
City{name=Dewas, country=India, district=Madhya Pradesh, population=164364}
City{name=Murwara (Katni), country=India, district=Madhya Pradesh, population=163431}
City{name=Satna, country=India, district=Madhya Pradesh, population=156630}
City{name=Morena, country=India, district=Madhya Pradesh, population=147124}
City{name=Khandwa, country=India, district=Madhya Pradesh, population=145133}
City{name=Rewa, country=India, district=Madhya Pradesh, population=128981}
City{name=Bhind, country=India, district=Madhya Pradesh, population=109755}
City{name=Shivapuri, country=India, district=Madhya Pradesh, population=108277}
City{name=Guna, country=India, district=Madhya Pradesh, population=100490}
City{name=Mandasor, country=India, district=Madhya Pradesh, population=95758}
City{name=Damoh, country=India, district=Madhya Pradesh, population=95661}
City{name=Chhindwara, country=India, district=Madhya Pradesh, population=93731}
City{name=Vidisha, country=India, district=Madhya Pradesh, population=92917}
