City{name=Belo Horizonte, country=Brazil, district=Minas Gerais, population=2139125}
City{name=Contagem, country=Brazil, district=Minas Gerais, population=520801}
City{name=Uberlândia, country=Brazil, district=Minas Gerais, population=487222}
City{name=Juiz de Fora, country=Brazil, district=Minas Gerais, population=450288}
City{name=Betim, country=Brazil, district=Minas Gerais, population=302108}
City{name=Montes Claros, country=Brazil, district=Minas Gerais, population=286058}
City{name=Uberaba, country=Brazil, district=Minas Gerais, population=249225}
City{name=Ribeirão das Neves, country=Brazil, district=Minas Gerais, population=232685}
City{name=Governador Valadares, country=Brazil, district=Minas Gerais, population=231724}
City{name=Ipatinga, country=Brazil, district=Minas Gerais, population=206338}
City{name=Divinópolis, country=Brazil, district=Minas Gerais, population=185047}
City{name=Sete Lagoas, country=Brazil, district=Minas Gerais, population=182984}
City{name=Santa Luzia, country=Brazil, district=Minas Gerais, population=164704}
City{name=Poços de Caldas, country=Brazil, district=Minas Gerais, population=129683}
City{name=Ibirité, country=Brazil, district=Minas Gerais, population=125982}
City{name=Teófilo Otoni, country=Brazil, district=Minas Gerais, population=124489}
City{name=Patos de Minas, country=Brazil, district=Minas Gerais, population=119262}
City{name=Barbacena, country=Brazil, district=Minas Gerais, population=113079}
City{name=Varginha, country=Brazil, district=Minas Gerais, population=108314}
City{name=Sabará, country=Brazil, district=Minas Gerais, population=107781}
City{name=Itabira, country=Brazil, district=Minas Gerais, population=102217}
City{name=Pouso Alegre, country=Brazil, district=Minas Gerais, population=100028}
City{name=Passos, country=Brazil, district=Minas Gerais, population=98570}
City{name=Araguari, country=Brazil, district=Minas Gerais, population=98399}
City{name=Conselheiro Lafaiete, country=Brazil, district=Minas Gerais, population=97507}
City{name=Coronel Fabriciano, country=Brazil, district=Minas Gerais, population=95933}
City{name=Ituiutaba, country=Brazil, district=Minas Gerais, population=90507}
