City{name=Podolsk, country=Russian Federation, district=Moskova, population=194300}
City{name=Ljubertsy, country=Russian Federation, district=Moskova, population=163900}
City{name=Mytištši, country=Russian Federation, district=Moskova, population=155700}
City{name=Kolomna, country=Russian Federation, district=Moskova, population=150700}
City{name=Elektrostal, country=Russian Federation, district=Moskova, population=147000}
City{name=Himki, country=Russian Federation, district=Moskova, population=133700}
City{name=Balašiha, country=Russian Federation, district=Moskova, population=132900}
City{name=Korolev, country=Russian Federation, district=Moskova, population=132400}
City{name=Serpuhov, country=Russian Federation, district=Moskova, population=132000}
City{name=Odintsovo, country=Russian Federation, district=Moskova, population=127400}
City{name=Orehovo-Zujevo, country=Russian Federation, district=Moskova, population=124900}
City{name=Noginsk, country=Russian Federation, district=Moskova, population=117200}
City{name=Sergijev Posad, country=Russian Federation, district=Moskova, population=111100}
City{name=Štšolkovo, country=Russian Federation, district=Moskova, population=104900}
City{name=Zeleznodoroznyi, country=Russian Federation, district=Moskova, population=100100}
City{name=Zukovski, country=Russian Federation, district=Moskova, population=96500}
City{name=Krasnogorsk, country=Russian Federation, district=Moskova, population=91000}
City{name=Klin, country=Russian Federation, district=Moskova, population=90000}
