City{name=Köln, country=Germany, district=Nordrhein-Westfalen, population=962507}
City{name=Essen, country=Germany, district=Nordrhein-Westfalen, population=599515}
City{name=Dortmund, country=Germany, district=Nordrhein-Westfalen, population=590213}
City{name=Düsseldorf, country=Germany, district=Nordrhein-Westfalen, population=568855}
City{name=Duisburg, country=Germany, district=Nordrhein-Westfalen, population=519793}
City{name=Bochum, country=Germany, district=Nordrhein-Westfalen, population=392830}
City{name=Wuppertal, country=Germany, district=Nordrhein-Westfalen, population=368993}
City{name=Bielefeld, country=Germany, district=Nordrhein-Westfalen, population=321125}
City{name=Bonn, country=Germany, district=Nordrhein-Westfalen, population=301048}
City{name=Gelsenkirchen, country=Germany, district=Nordrhein-Westfalen, population=281979}
City{name=Münster, country=Germany, district=Nordrhein-Westfalen, population=264670}
City{name=Mönchengladbach, country=Germany, district=Nordrhein-Westfalen, population=263697}
City{name=Aachen, country=Germany, district=Nordrhein-Westfalen, population=243825}
City{name=Krefeld, country=Germany, district=Nordrhein-Westfalen, population=241769}
City{name=Oberhausen, country=Germany, district=Nordrhein-Westfalen, population=222349}
City{name=Hagen, country=Germany, district=Nordrhein-Westfalen, population=205201}
City{name=Hamm, country=Germany, district=Nordrhein-Westfalen, population=181804}
City{name=Herne, country=Germany, district=Nordrhein-Westfalen, population=175661}
City{name=Mülheim an der Ruhr, country=Germany, district=Nordrhein-Westfalen, population=173895}
City{name=Solingen, country=Germany, district=Nordrhein-Westfalen, population=165583}
City{name=Leverkusen, country=Germany, district=Nordrhein-Westfalen, population=160841}
City{name=Neuss, country=Germany, district=Nordrhein-Westfalen, population=149702}
City{name=Paderborn, country=Germany, district=Nordrhein-Westfalen, population=137647}
City{name=Recklinghausen, country=Germany, district=Nordrhein-Westfalen, population=125022}
City{name=Bottrop, country=Germany, district=Nordrhein-Westfalen, population=121097}
City{name=Remscheid, country=Germany, district=Nordrhein-Westfalen, population=120125}
City{name=Siegen, country=Germany, district=Nordrhein-Westfalen, population=109225}
City{name=Moers, country=Germany, district=Nordrhein-Westfalen, population=106837}
City{name=Bergisch Gladbach, country=Germany, district=Nordrhein-Westfalen, population=106150}
City{name=Witten, country=Germany, district=Nordrhein-Westfalen, population=103384}
City{name=Iserlohn, country=Germany, district=Nordrhein-Westfalen, population=99474}
City{name=Gütersloh, country=Germany, district=Nordrhein-Westfalen, population=95028}
City{name=Marl, country=Germany, district=Nordrhein-Westfalen, population=93735}
City{name=Lünen, country=Germany, district=Nordrhein-Westfalen, population=92044}
City{name=Düren, country=Germany, district=Nordrhein-Westfalen, population=91092}
City{name=Ratingen, country=Germany, district=Nordrhein-Westfalen, population=90951}
City{name=Velbert, country=Germany, district=Nordrhein-Westfalen, population=89881}
