City{name=Osaka, country=Japan, district=Osaka, population=2595674}
City{name=Sakai, country=Japan, district=Osaka, population=797735}
City{name=Higashiosaka, country=Japan, district=Osaka, population=517785}
City{name=Hirakata, country=Japan, district=Osaka, population=403151}
City{name=Toyonaka, country=Japan, district=Osaka, population=396689}
City{name=Takatsuki, country=Japan, district=Osaka, population=361747}
City{name=Suita, country=Japan, district=Osaka, population=345750}
City{name=Yao, country=Japan, district=Osaka, population=276421}
City{name=Ibaraki, country=Japan, district=Osaka, population=261020}
City{name=Neyagawa, country=Japan, district=Osaka, population=257315}
City{name=Kishiwada, country=Japan, district=Osaka, population=197276}
City{name=Izumi, country=Japan, district=Osaka, population=166979}
City{name=Moriguchi, country=Japan, district=Osaka, population=155941}
City{name=Kadoma, country=Japan, district=Osaka, population=138953}
City{name=Matsubara, country=Japan, district=Osaka, population=135010}
City{name=Daito, country=Japan, district=Osaka, population=130594}
City{name=Minoo, country=Japan, district=Osaka, population=127026}
City{name=Tondabayashi, country=Japan, district=Osaka, population=125094}
City{name=Kawachinagano, country=Japan, district=Osaka, population=119666}
City{name=Habikino, country=Japan, district=Osaka, population=118968}
City{name=Ikeda, country=Japan, district=Osaka, population=102710}
City{name=Izumisano, country=Japan, district=Osaka, population=92583}
